suite,run_id,case_id,model,tool_config,context_lines,trial,status,elapsed_s,language,debugged_binary,valid_target,is_synthetic,n_tool_calls,tool_freq,tokens,prompt_tokens,completion_tokens,resp_len,has_recommendation_section,ends_with_questions,bug_category,bug_error_type,truth_file,truth_line,truth_function,file_mentioned,line_mentioned,func_mentioned,any_truth_file_mentioned,run_dir
__test_step1__,cleanenv_13892_1,null-deref-env,m,all_tools.json,10,1,no_collect,0.0,c,,False,False,0,{},,,,0,False,False,null_deref,missing_null_check,program.c,13.0,,False,False,False,False,/Users/ibraheemamin/Documents/cos484-final-project/chatdbgpro/bench/results/__test_step1__/cleanenv_13892_1
__test_step1__,compilefail_13892_2,off-by-one-crc,m,all_tools.json,10,1,compile_failed,0.0,c,,False,False,0,{},,,,0,False,False,off_by_one,buffer_overread,program.c,11.0,,False,False,False,False,/Users/ibraheemamin/Documents/cos484-final-project/chatdbgpro/bench/results/__test_step1__/compilefail_13892_2
__test_step1__,dryrun_13892_3,off-by-one-crc,m,all_tools.json,10,1,dry_run,0.0,c,,False,False,0,{},,,,0,False,False,off_by_one,buffer_overread,program.c,11.0,,False,False,False,False,/Users/ibraheemamin/Documents/cos484-final-project/chatdbgpro/bench/results/__test_step1__/dryrun_13892_3
__test_step1__,happy_gdb_13892_6,off-by-one-crc,m,all_tools.json,10,1,no_collect,0.0,c,,False,False,0,{},,,,0,False,False,off_by_one,buffer_overread,program.c,11.0,,False,False,False,False,/Users/ibraheemamin/Documents/cos484-final-project/chatdbgpro/bench/results/__test_step1__/happy_gdb_13892_6
__test_step1__,happy_lldb_13892_7,off-by-one-crc,fake-model,all_tools.json,10,1,ok,0.0,c,,False,False,0,{},,,,0,False,False,off_by_one,buffer_overread,program.c,11.0,,False,False,False,False,/Users/ibraheemamin/Documents/cos484-final-project/chatdbgpro/bench/results/__test_step1__/happy_lldb_13892_7
__test_step1__,nocollect_13892_4,off-by-one-crc,m,all_tools.json,10,1,no_collect,0.0,c,,False,False,0,{},,,,0,False,False,off_by_one,buffer_overread,program.c,11.0,,False,False,False,False,/Users/ibraheemamin/Documents/cos484-final-project/chatdbgpro/bench/results/__test_step1__/nocollect_13892_4
__test_step1__,timeout_13892_5,off-by-one-crc,m,all_tools.json,10,1,timeout,0.0,c,,False,False,0,{},,,,0,False,False,off_by_one,buffer_overread,program.c,11.0,,False,False,False,False,/Users/ibraheemamin/Documents/cos484-final-project/chatdbgpro/bench/results/__test_step1__/timeout_13892_5
full-synthetic-v1-stripped,double-free-errpath__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1,double-free-errpath,openrouter/nvidia/nemotron-3-nano-30b-a3b,tier3_gdb_only.json,10,1,ok,73.826,c,./build/prog,True,True,0,{},5229.0,1568.0,3661.0,5856,True,False,double_free,dangling_member,program.c,23.0,,False,False,False,False,/Users/ibraheemamin/Documents/cos484-final-project/chatdbgpro/bench/results/full-synthetic-v1-stripped/double-free-errpath__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1
full-synthetic-v1-stripped,double-free-errpath__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1,double-free-errpath,openrouter/qwen/qwen3-30b-a3b-instruct-2507,tier3_gdb_only.json,10,1,ok,29.07,c,./build/prog,True,True,11,"{""frame"": 5, ""code"": 4, ""definition"": 2}",4646.0,2739.0,1907.0,7068,True,False,double_free,dangling_member,program.c,23.0,,False,True,False,False,/Users/ibraheemamin/Documents/cos484-final-project/chatdbgpro/bench/results/full-synthetic-v1-stripped/double-free-errpath__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1
full-synthetic-v1-stripped,heap-overflow-csv__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1,heap-overflow-csv,openrouter/nvidia/nemotron-3-nano-30b-a3b,tier3_gdb_only.json,10,1,ok,37.482,c,./build/prog,True,True,1,"{""code"": 1}",3227.0,1742.0,1485.0,3389,True,False,heap_overflow,off_by_one_write,program.c,12.0,,False,False,False,False,/Users/ibraheemamin/Documents/cos484-final-project/chatdbgpro/bench/results/full-synthetic-v1-stripped/heap-overflow-csv__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1
