case_id,status,elapsed_s,exit_code,tool_calls,response_len,has_rc,has_lf,has_gf,model
cjson-parse-string-oob,ok,69.913,0,21,5265,True,True,True,anthropic claude sonnet 4 5
heap-overflow-csv,ok,36.446,0,6,3311,True,True,True,anthropic claude sonnet 4 5
null-deref-env,ok,37.402,0,9,3028,True,True,True,anthropic claude sonnet 4 5
shift-int-overflow,ok,31.593,0,6,3038,True,True,True,anthropic claude sonnet 4 5
signed-unsigned-loop,ok,51.84,0,7,4628,True,True,True,anthropic claude sonnet 4 5
stack-buffer-overflow-strcpy,ok,39.776,0,7,3548,True,True,True,anthropic claude sonnet 4 5
test-deep-recursion,ok,37.122,0,8,3255,True,True,True,anthropic claude sonnet 4 5
test-definition-likely,ok,41.048,0,8,2784,True,True,True,anthropic claude sonnet 4 5
test-failed-assert,ok,34.187,0,7,2941,True,True,True,anthropic claude sonnet 4 5
test-out-of-bounds-read,ok,28.586,0,6,2630,True,True,True,anthropic claude sonnet 4 5
test-overflow,ok,103.842,0,24,7596,True,True,True,anthropic claude sonnet 4 5
test-pointers-loop,ok,28.472,0,7,2684,True,True,True,anthropic claude sonnet 4 5
test-pointers,ok,32.126,0,7,3198,True,True,True,anthropic claude sonnet 4 5
test-stack-overflow,ok,26.185,0,5,2799,True,True,True,anthropic claude sonnet 4 5
test-use-after-free,ok,30.908,0,7,3502,True,True,True,anthropic claude sonnet 4 5
vector-iter-after-pushback,ok,36.912,0,6,4152,True,True,True,anthropic claude sonnet 4 5
cjson-parse-string-oob,ok,25.686,0,22,0,False,False,False,google gemini 3 1 flash lite preview
heap-overflow-csv,ok,11.171,0,4,0,False,False,False,google gemini 3 1 flash lite preview
null-deref-env,ok,10.813,0,6,0,False,False,False,google gemini 3 1 flash lite preview
shift-int-overflow,ok,15.164,0,5,705,True,True,True,google gemini 3 1 flash lite preview
signed-unsigned-loop,ok,9.893,0,4,0,False,False,False,google gemini 3 1 flash lite preview
stack-buffer-overflow-strcpy,ok,31.02,0,4,1074,True,True,True,google gemini 3 1 flash lite preview
test-deep-recursion,ok,16.773,0,8,741,True,True,True,google gemini 3 1 flash lite preview
test-definition-likely,ok,13.778,0,7,0,False,False,False,google gemini 3 1 flash lite preview
test-failed-assert,ok,23.923,0,7,0,False,False,False,google gemini 3 1 flash lite preview
test-out-of-bounds-read,ok,17.804,0,3,0,False,False,False,google gemini 3 1 flash lite preview
test-overflow,ok,28.026,0,11,0,False,False,False,google gemini 3 1 flash lite preview
test-pointers-loop,ok,15.808,0,5,0,False,False,False,google gemini 3 1 flash lite preview
