tier,model,case_id,status,root_cause,local_fix,global_fix,total
T1 (bash),GPT-4o,bc-heap-overflow,ok,1,1,1,3
T1 (bash),GPT-4o,man-overflow,ok,0,0,0,0
T1 (bash),GPT-4o,ncompress-overflow,ok,0,0,0,0
T1 (bash),GPT-4o,polymorph-overflow,ok,1,1,1,3
T1 (bash),Llama-8B,bc-heap-overflow,ok,0,0,0,0
T1 (bash),Llama-8B,man-overflow,ok,0,0,0,0
T1 (bash),Llama-8B,ncompress-overflow,timeout,0,0,0,0
T1 (bash),Llama-8B,polymorph-overflow,ok,0,0,0,0
T1 (bash),Nemotron-30B,bc-heap-overflow,timeout,0,0,0,0
T1 (bash),Nemotron-30B,man-overflow,ok,0,0,0,0
T1 (bash),Nemotron-30B,ncompress-overflow,ok,0,0,0,0
T1 (bash),Nemotron-30B,polymorph-overflow,timeout,0,0,0,0
T1 (bash),Qwen-30B,bc-heap-overflow,ok,1,1,1,3
T1 (bash),Qwen-30B,man-overflow,timeout,0,0,0,0
T1 (bash),Qwen-30B,ncompress-overflow,timeout,0,0,0,0
T1 (bash),Qwen-30B,polymorph-overflow,ok,0,0,0,0
T2 (bash+gdb),GPT-4o,bc-heap-overflow,ok,0,0,0,0
T2 (bash+gdb),GPT-4o,man-overflow,ok,0,0,0,0
T2 (bash+gdb),GPT-4o,ncompress-overflow,ok,1,1,0,2
T2 (bash+gdb),GPT-4o,polymorph-overflow,ok,1,1,1,3
T2 (bash+gdb),Llama-8B,bc-heap-overflow,ok,0,0,0,0
T2 (bash+gdb),Llama-8B,man-overflow,ok,0,0,0,0
T2 (bash+gdb),Llama-8B,ncompress-overflow,ok,0,0,0,0
T2 (bash+gdb),Llama-8B,polymorph-overflow,ok,0,0,0,0
T2 (bash+gdb),Nemotron-30B,bc-heap-overflow,ok,0,0,0,0
T2 (bash+gdb),Nemotron-30B,man-overflow,timeout,0,0,0,0
T2 (bash+gdb),Nemotron-30B,ncompress-overflow,timeout,0,0,0,0
T2 (bash+gdb),Nemotron-30B,polymorph-overflow,timeout,0,0,0,0
T2 (bash+gdb),Qwen-30B,bc-heap-overflow,ok,1,1,1,3
T2 (bash+gdb),Qwen-30B,man-overflow,ok,0,0,0,0
T2 (bash+gdb),Qwen-30B,ncompress-overflow,ok,1,1,0,2
T2 (bash+gdb),Qwen-30B,polymorph-overflow,ok,1,1,1,3
T3 (ChatDBG),GPT-4o,bc-heap-overflow,ok,0,0,0,0
T3 (ChatDBG),GPT-4o,man-overflow,timeout,0,0,0,0
T3 (ChatDBG),GPT-4o,ncompress-overflow,ok,1,1,0,2
T3 (ChatDBG),GPT-4o,polymorph-overflow,no_collect,0,0,0,0
T3 (ChatDBG),Llama-8B,bc-heap-overflow,ok,0,0,0,0
T3 (ChatDBG),Llama-8B,man-overflow,timeout,0,0,0,0
T3 (ChatDBG),Llama-8B,ncompress-overflow,ok,0,0,0,0
T3 (ChatDBG),Llama-8B,polymorph-overflow,no_collect,0,0,0,0
T3 (ChatDBG),Nemotron-30B,bc-heap-overflow,ok,0,0,0,0
T3 (ChatDBG),Nemotron-30B,man-overflow,timeout,0,0,0,0
T3 (ChatDBG),Nemotron-30B,ncompress-overflow,ok,1,1,0,2
T3 (ChatDBG),Nemotron-30B,polymorph-overflow,no_collect,0,0,0,0
T3 (ChatDBG),Qwen-30B,bc-heap-overflow,ok,0,0,0,0
T3 (ChatDBG),Qwen-30B,man-overflow,timeout,0,0,0,0
T3 (ChatDBG),Qwen-30B,ncompress-overflow,ok,0,0,0,0
T3 (ChatDBG),Qwen-30B,polymorph-overflow,no_collect,0,0,0,0
