bug      tier   model                                   rc  lf  gf
yara-1   tier1  anthropic_claude-sonnet-4.6                0   0   0
yara-1   tier1  x-ai_grok-4.3                              0   0   0
yara-1   tier2  anthropic_claude-sonnet-4.6                1   1   1
yara-1   tier2  x-ai_grok-4.3                              0   0   0
yara-1   tier3  anthropic_claude-sonnet-4.6                0   0   0
yara-1   tier3  x-ai_grok-4.3                              0   0   0
yara-2   tier1  anthropic_claude-sonnet-4.6                0   0   0
yara-2   tier1  x-ai_grok-4.3                              0   0   0
yara-2   tier2  anthropic_claude-sonnet-4.6                0   0   0
yara-2   tier2  x-ai_grok-4.3                              0   0   0
yara-2   tier3  anthropic_claude-sonnet-4.6                0   0   0
yara-2   tier3  x-ai_grok-4.3                              0   0   0
yara-3   tier1  anthropic_claude-sonnet-4.6                0   0   0
yara-3   tier1  x-ai_grok-4.3                              0   0   0
yara-3   tier2  anthropic_claude-sonnet-4.6                0   0   0
yara-3   tier2  x-ai_grok-4.3                              0   0   0
yara-3   tier3  anthropic_claude-sonnet-4.6                0   0   0
yara-3   tier3  x-ai_grok-4.3                              0   0   0
yara-4   tier1  anthropic_claude-sonnet-4.6                0   0   0
yara-4   tier1  x-ai_grok-4.3                              0   0   0
yara-4   tier2  anthropic_claude-sonnet-4.6                1   1   1
yara-4   tier2  x-ai_grok-4.3                              0   0   0
yara-4   tier3  anthropic_claude-sonnet-4.6                0   0   0
yara-4   tier3  x-ai_grok-4.3                              0   0   0
yara-5   tier1  anthropic_claude-sonnet-4.6                1   1   1
yara-5   tier1  x-ai_grok-4.3                              0   0   0
yara-5   tier2  anthropic_claude-sonnet-4.6                1   1   1
yara-5   tier2  x-ai_grok-4.3                              0   0   0
yara-5   tier3  anthropic_claude-sonnet-4.6                0   0   0
yara-5   tier3  x-ai_grok-4.3                              0   0   0

=== mean score per (tier, model), n cases ===
tier   model                                   rc   lf   gf  n
tier1  anthropic_claude-sonnet-4.6              0.20 0.20 0.20  5
tier1  x-ai_grok-4.3                            0.00 0.00 0.00  5
tier2  anthropic_claude-sonnet-4.6              0.60 0.60 0.60  5
tier2  x-ai_grok-4.3                            0.00 0.00 0.00  5
tier3  anthropic_claude-sonnet-4.6              0.00 0.00 0.00  5
tier3  x-ai_grok-4.3                            0.00 0.00 0.00  5
