bug      tier   model                                   rc  lf  gf
yara-1   tier1  openai_gpt-4o                              0   0   0
yara-1   tier2  openai_gpt-4o                              0   0   0
yara-1   tier3  openai_gpt-4o                              0   0   0
yara-1   tier4  haiku                                      1   1   1
yara-1   tier4  sonnet                                     1   1   1
yara-2   tier1  openai_gpt-4o                              0   0   0
yara-2   tier2  openai_gpt-4o                              0   0   0
yara-2   tier3  openai_gpt-4o                              0   0   0
yara-2   tier4  haiku                                      1   1   1
yara-2   tier4  sonnet                                     1   1   1
yara-3   tier1  openai_gpt-4o                              0   0   0
yara-3   tier2  openai_gpt-4o                              0   0   0
yara-3   tier3  openai_gpt-4o                              0   0   0
yara-3   tier4  haiku                                      1   1   1
yara-3   tier4  sonnet                                     1   1   1
yara-4   tier1  openai_gpt-4o                              0   0   0
yara-4   tier2  openai_gpt-4o                              0   0   0
yara-4   tier3  openai_gpt-4o                              0   0   0
yara-4   tier4  haiku                                      1   1   1
yara-4   tier4  sonnet                                     0   0   1
yara-5   tier1  openai_gpt-4o                              0   0   0
yara-5   tier2  openai_gpt-4o                              0   0   0
yara-5   tier3  openai_gpt-4o                              0   0   0
yara-5   tier4  haiku                                      0   0   0
yara-5   tier4  sonnet                                     0   0   0

=== mean score per (tier, model), n cases ===
tier   model                                   rc   lf   gf  n
tier1  openai_gpt-4o                            0.00 0.00 0.00  5
tier2  openai_gpt-4o                            0.00 0.00 0.00  5
tier3  openai_gpt-4o                            0.00 0.00 0.00  5
tier4  haiku                                    0.80 0.80 0.80  5
tier4  sonnet                                   0.60 0.60 0.80  5
