bug      tier   model                                   rc  lf  gf
yara-1   tier1  google_gemini-2.5-flash                    0   0   0
yara-1   tier1  openai_gpt-5.1                             0   0   0
yara-1   tier2  google_gemini-2.5-flash                    0   0   0
yara-1   tier2  openai_gpt-5.1                             0   0   0
yara-1   tier3  anthropic_claude-sonnet-4.6                -   -   -
yara-1   tier3  google_gemini-2.5-flash                    0   0   0
yara-1   tier3  openai_gpt-5.1                             0   0   0
yara-2   tier1  google_gemini-2.5-flash                    0   0   0
yara-2   tier1  openai_gpt-5.1                             0   0   0
yara-2   tier2  google_gemini-2.5-flash                    0   0   0
yara-2   tier2  openai_gpt-5.1                             0   0   0
yara-2   tier3  anthropic_claude-sonnet-4.6                -   -   -
yara-2   tier3  google_gemini-2.5-flash                    0   0   0
yara-2   tier3  openai_gpt-5.1                             0   0   0
yara-3   tier1  google_gemini-2.5-flash                    0   0   0
yara-3   tier1  openai_gpt-5.1                             0   0   0
yara-3   tier2  google_gemini-2.5-flash                    0   0   0
yara-3   tier2  openai_gpt-5.1                             0   0   0
yara-3   tier3  anthropic_claude-sonnet-4.6                -   -   -
yara-3   tier3  google_gemini-2.5-flash                    0   0   0
yara-3   tier3  openai_gpt-5.1                             0   0   0
yara-4   tier1  google_gemini-2.5-flash                    0   0   0
yara-4   tier1  openai_gpt-5.1                             0   0   0
yara-4   tier2  google_gemini-2.5-flash                    0   0   0
yara-4   tier2  openai_gpt-5.1                             0   0   0
yara-4   tier3  anthropic_claude-sonnet-4.6                -   -   -
yara-4   tier3  google_gemini-2.5-flash                    0   0   0
yara-4   tier3  openai_gpt-5.1                             0   0   0
yara-5   tier1  google_gemini-2.5-flash                    0   0   0
yara-5   tier1  openai_gpt-5.1                             0   0   0
yara-5   tier2  google_gemini-2.5-flash                    0   0   0
yara-5   tier2  openai_gpt-5.1                             0   0   0
yara-5   tier3  anthropic_claude-sonnet-4.6                -   -   -
yara-5   tier3  google_gemini-2.5-flash                    0   0   0
yara-5   tier3  openai_gpt-5.1                             0   0   0

=== mean score per (tier, model), n cases ===
tier   model                                   rc   lf   gf  n
tier1  google_gemini-2.5-flash                  0.00 0.00 0.00  5
tier1  openai_gpt-5.1                           0.00 0.00 0.00  5
tier2  google_gemini-2.5-flash                  0.00 0.00 0.00  5
tier2  openai_gpt-5.1                           0.00 0.00 0.00  5
tier3  google_gemini-2.5-flash                  0.00 0.00 0.00  5
tier3  openai_gpt-5.1                           0.00 0.00 0.00  5
