sweep,case,model,bash,gdb,rc,lf,gf,total
overnight-tier2-20260501_011643-nemotron,yara-1,openrouter_nvidia_nemotron-3-nano-30b-a3b,0,0,0,0,0,0
overnight-tier2-20260501_011643-nemotron,yara-2,openrouter_nvidia_nemotron-3-nano-30b-a3b,0,0,0,0,0,0
overnight-tier2-20260501_011643-nemotron,yara-3,openrouter_nvidia_nemotron-3-nano-30b-a3b,0,0,0,0,0,0
overnight-tier2-20260501_011643-nemotron,yara-4,openrouter_nvidia_nemotron-3-nano-30b-a3b,0,0,0,0,0,0
overnight-tier2-20260501_011643-nemotron,yara-5,openrouter_nvidia_nemotron-3-nano-30b-a3b,0,0,0,0,0,0
overnight-tier2-20260501_011643-3models,yara-1,openrouter_meta-llama_llama-3.1-8b-instruct,0,0,0,0,0,0
overnight-tier2-20260501_011643-3models,yara-1,openrouter_openai_gpt-4o,0,0,0,0,0,0
overnight-tier2-20260501_011643-3models,yara-1,openrouter_qwen_qwen3-30b-a3b-instruct-2507,0,0,0,0,0,0
overnight-tier2-20260501_011643-3models,yara-2,openrouter_meta-llama_llama-3.1-8b-instruct,0,0,0,0,0,0
overnight-tier2-20260501_011643-3models,yara-2,openrouter_openai_gpt-4o,0,0,0,0,0,0
overnight-tier2-20260501_011643-3models,yara-2,openrouter_qwen_qwen3-30b-a3b-instruct-2507,0,0,0,0,0,0
overnight-tier2-20260501_011643-3models,yara-3,openrouter_openai_gpt-4o,0,0,0,0,0,0
overnight-tier2-20260501_011643-3models,yara-3,openrouter_qwen_qwen3-30b-a3b-instruct-2507,0,0,0,0,0,0
overnight-tier2-20260501_011643-3models,yara-4,openrouter_meta-llama_llama-3.1-8b-instruct,0,0,0,0,0,0
overnight-tier2-20260501_011643-3models,yara-4,openrouter_openai_gpt-4o,0,0,0,0,0,0
overnight-tier2-20260501_011643-3models,yara-4,openrouter_qwen_qwen3-30b-a3b-instruct-2507,0,0,0,0,0,0
overnight-tier2-20260501_011643-3models,yara-5,openrouter_meta-llama_llama-3.1-8b-instruct,0,0,0,0,0,0
overnight-tier2-20260501_011643-3models,yara-5,openrouter_openai_gpt-4o,0,0,0,0,0,0
overnight-tier2-20260501_011643-3models,yara-5,openrouter_qwen_qwen3-30b-a3b-instruct-2507,0,0,0,0,0,0
merged-yara-pilot,yara-1,openrouter_openai_gpt-4o,5,1,0,0,0,0
merged-yara-pilot,yara-2,openrouter_openai_gpt-4o,14,1,0,0,0,0
merged-yara-pilot,yara-3,openrouter_openai_gpt-4o,6,7,0,0,0,0
merged-yara-pilot,yara-4,openrouter_openai_gpt-4o,10,1,0,0,0,0
merged-yara-pilot,yara-5,openrouter_openai_gpt-4o,5,6,0,0,0,0
