model_label,model,tier,n,root_cause_mean,local_fix_mean,global_fix_mean,total_score_mean,total_score_norm_mean,tokens_mean
claude-sonnet,openrouter/anthropic/claude-sonnet-4.5,1,20,1.0,1.0,0.8,2.8,0.9333,32101.8
claude-sonnet,openrouter/anthropic/claude-sonnet-4.5,3,20,0.4,0.3,0.2,0.9,0.3,5186.2
gemini,openrouter/google/gemini-3.1-flash-lite-preview,1,20,0.7,0.6,0.5,1.8,0.6,27167.9
gemini,openrouter/google/gemini-3.1-flash-lite-preview,3,20,0.6,0.55,0.45,1.6,0.5333,3208.85
gpt-4o,openrouter/openai/gpt-4o,1,20,0.8,0.75,0.35,1.9,0.6333,17075.85
gpt-4o,openrouter/openai/gpt-4o,3,20,0.85,0.8,0.4,2.05,0.6833,2525.5
gpt-5.5,openrouter/openai/gpt-5.5,1,20,0.85,0.8,0.85,2.5,0.8333,11167.45
gpt-5.5,openrouter/openai/gpt-5.5,3,20,0.75,0.7,0.75,2.2,0.7333,3749.35
grok,openrouter/x-ai/grok-4,1,20,0.75,0.65,0.7,2.1,0.7,16498.25
grok,openrouter/x-ai/grok-4,3,20,0.15,0.15,0.1,0.4,0.1333,2740.4
llama,openrouter/meta-llama/llama-3.1-8b-instruct,1,20,0.1,0.2,0.05,0.35,0.1167,483059.4
llama,openrouter/meta-llama/llama-3.1-8b-instruct,3,20,0.45,0.35,0.05,0.85,0.2833,3311.85
nemotron,openrouter/nvidia/nemotron-3-nano-30b-a3b,1,20,0.1,0.05,0.05,0.2,0.0667,3598.0
nemotron,openrouter/nvidia/nemotron-3-nano-30b-a3b,3,20,0.95,0.8,0.9,2.65,0.8833,3722.35
qwen,openrouter/qwen/qwen3-30b-a3b-instruct-2507,1,20,0.65,0.4,0.4,1.45,0.4833,13247.8
qwen,openrouter/qwen/qwen3-30b-a3b-instruct-2507,3,20,0.85,0.65,0.65,2.15,0.7167,2825.5
