tier,case_id,model_full,model,status,judge_status,rc,lf,gf,total,num_tool_calls,prompt_tokens,completion_tokens,tokens,cost_estimated_usd,cost_reported_usd,cost_source,elapsed_s
1,crashbench-abo1,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,ok,1,0,1,2,7,24207,1830,26037,0.0,0.0562662,unknown,38.189072370529175
1,crashbench-abo1,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,ok,1,0,1,2,2,4155,336,4491,0.0,0.00154275,unknown,21.25604248046875
1,crashbench-abo1,openrouter/nvidia/nemotron-3-nano-30b-a3b,nemotron-30B,ok,ok,0,0,0,0,1,891,1500,2391,0.0,0.0,unknown,17.91617512702942
1,crashbench-abo1,openrouter/openai/gpt-5.5,gpt-5.5,ok,ok,1,1,1,3,5,8039,1762,9801,0.0,0.0,unknown,38.27380895614624
1,crashbench-abo1,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,ok,1,0,1,2,5,10665,676,11341,0.0,0.0,unknown,13.601030588150024
2,crashbench-abo1,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,ok,1,0,1,2,6,21709,1137,22846,0.0,0.082182,unknown,26.98732280731201
2,crashbench-abo1,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,no_prose_synthesis,0,0,0,0,3,5837,98,5935,0.0,0.00160625,unknown,3.7397401332855225
2,crashbench-abo1,openrouter/openai/gpt-5.5,gpt-5.5,ok,ok,1,1,1,3,5,13329,1343,14672,0.0,0.0,unknown,36.31285238265991
2,crashbench-abo1,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,ok,1,0,1,2,5,16321,1004,17325,0.0,0.0,unknown,22.68128514289856
3,crashbench-abo1,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,ok,1,0,1,2,16,4032,623,4655,0.0,0.023653500000000004,unknown,23.295018672943115
3,crashbench-abo1,openrouter/nvidia/nemotron-3-nano-30b-a3b,nemotron-30B,ok,ok,1,0,1,2,2,1666,1615,3281,0.0,0.0,unknown,23.17363953590393
3,crashbench-abo1,openrouter/openai/gpt-5.5,gpt-5.5,ok,no_prose_synthesis,0,0,0,0,1,0,0,0,0.0,0.0,unknown,0.0
3,crashbench-abo1,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,ok,0,0,1,1,13,2649,815,3464,0.0,0.0,unknown,36.32206702232361
1,crashbench-abo2,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,ok,1,0,1,2,7,25921,1824,27745,0.0,0.05235150000000001,unknown,284.7451124191284
1,crashbench-abo2,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,ok,0,0,1,1,2,3669,327,3996,0.0,0.00140775,unknown,13.365552186965942
1,crashbench-abo2,openrouter/openai/gpt-5.5,gpt-5.5,ok,ok,1,1,1,3,3,8163,1486,9649,0.0,0.0,unknown,45.59424543380737
1,crashbench-abo2,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,ok,1,0,1,2,5,10752,747,11499,0.0,0.0,unknown,11.718242168426514
2,crashbench-abo2,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,ok,1,0,1,2,8,33207,1585,34792,0.0,0.123396,unknown,56.54796099662781
2,crashbench-abo2,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,no_prose_synthesis,0,0,0,0,3,5917,98,6015,0.0,0.00162625,unknown,3.7910993099212646
2,crashbench-abo2,openrouter/openai/gpt-5.5,gpt-5.5,ok,ok,1,0,1,2,5,11507,1012,12519,0.0,0.0,unknown,57.89799356460571
2,crashbench-abo2,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,ok,1,0,1,2,4,10266,793,11059,0.0,0.0,unknown,131.87866854667664
3,crashbench-abo2,openrouter/nvidia/nemotron-3-nano-30b-a3b,nemotron-30B,ok,ok,0,0,1,1,3,1732,1253,2985,0.0,0.0,unknown,40.080490827560425
3,crashbench-abo2,openrouter/openai/gpt-5.5,gpt-5.5,ok,ok,1,1,1,3,22,2389,1626,4015,0.0,0.47287500000000016,unknown,102.4985773563385
3,crashbench-abo2,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,ok,1,0,1,2,7,3918,902,4820,0.0,0.0,unknown,28.237022638320923
1,crashbench-abo3,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,ok,1,0,1,2,7,25991,1788,27779,0.0,0.0518811,unknown,264.5466685295105
1,crashbench-abo3,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,ok,1,0,1,2,2,3694,360,4054,0.0,0.0014635,unknown,7.181190252304077
2,crashbench-abo3,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,no_prose_synthesis,0,0,0,0,4,9768,250,10018,0.0,0.002817,unknown,4.593887805938721
2,crashbench-abo3,openrouter/openai/gpt-5.5,gpt-5.5,ok,ok,1,1,1,3,5,13562,1056,14618,0.0,0.0,unknown,28.885483264923096
2,crashbench-abo3,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,ok,1,0,1,2,4,10494,850,11344,0.0,0.0,unknown,20.887747526168823
3,crashbench-abo3,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,ok,0,1,1,2,85,14501,745,15246,0.0,0.0,unknown,200.30623531341553
3,crashbench-abo3,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,ok,1,0,1,2,46,8044,534,8578,0.0,0.07350849999999996,unknown,56.55657243728638
3,crashbench-abo3,openrouter/nvidia/nemotron-3-nano-30b-a3b,nemotron-30B,ok,no_prose_synthesis,0,0,0,0,8,0,0,0,0.0,0.0,unknown,0.0
3,crashbench-abo3,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,ok,1,0,1,2,5,1539,1058,2597,0.0,0.0,unknown,17.790982484817505
1,crashbench-abo5,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,ok,1,0,1,2,9,34416,2758,37174,0.0,0.0845592,unknown,73.93887162208557
1,crashbench-abo5,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,ok,1,0,1,2,2,4190,479,4669,0.0,0.0017659999999999998,unknown,8.183544874191284
1,crashbench-abo5,openrouter/openai/gpt-5.5,gpt-5.5,ok,ok,1,1,1,3,6,13897,2001,15898,0.0,0.0,unknown,43.962958574295044
2,crashbench-abo5,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,ok,1,0,1,2,11,43232,2293,45525,0.0,0.164091,unknown,118.6290271282196
2,crashbench-abo5,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,no_prose_synthesis,0,0,0,0,4,10375,331,10706,0.0,0.00309025,unknown,4.435348987579346
2,crashbench-abo5,openrouter/openai/gpt-5.5,gpt-5.5,ok,ok,1,1,1,3,5,14046,1534,15580,0.0,0.0,unknown,44.596206188201904
3,crashbench-abo5,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,ok,0,0,0,0,22,6001,51,6052,0.0,0.0,unknown,52.3323872089386
3,crashbench-abo5,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,ok,1,0,1,2,29,4225,676,4901,0.0,0.04598225000000001,unknown,51.78420662879944
3,crashbench-abo5,openrouter/openai/gpt-5.5,gpt-5.5,ok,ok,1,0,1,2,56,6700,1558,8258,0.0,2.3211799999999996,unknown,171.2281105518341
3,crashbench-abo5,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,ok,0,0,1,1,8,1672,1630,3302,0.0,0.0,unknown,23.848490715026855
1,crashbench-abo7,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,ok,1,0,1,2,7,22249,1772,24021,0.0,0.0543336,unknown,36.24216389656067
1,crashbench-abo7,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,ok,0,0,1,1,2,2017,358,2375,0.0,0.00104125,unknown,6.277395486831665
1,crashbench-abo7,openrouter/openai/gpt-5.5,gpt-5.5,ok,ok,1,1,1,3,5,7855,1318,9173,0.0,0.0,unknown,25.176350831985474
1,crashbench-abo7,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,ok,1,0,1,2,5,10682,730,11412,0.0,0.0,unknown,13.697436094284058
2,crashbench-abo7,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,ok,1,0,1,2,8,30932,1319,32251,0.0,0.112581,unknown,64.26617431640625
2,crashbench-abo7,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,no_prose_synthesis,0,0,0,0,3,5857,98,5955,0.0,0.0016112499999999998,unknown,3.1215882301330566
2,crashbench-abo7,openrouter/openai/gpt-5.5,gpt-5.5,ok,ok,1,1,1,3,5,11844,950,12794,0.0,0.0,unknown,26.7930109500885
2,crashbench-abo7,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,ok,1,0,1,2,3,6245,624,6869,0.0,0.0,unknown,6.484854459762573
3,crashbench-abo7,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,no_prose_synthesis,0,0,0,0,18,0,0,0,0.0,0.0,unknown,0.0
3,crashbench-abo7,openrouter/openai/gpt-5.5,gpt-5.5,ok,ok,1,1,1,3,32,3305,1418,4723,0.0,0.7375650000000001,unknown,118.6532256603241
3,crashbench-abo7,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,ok,0,0,1,1,4,1711,1305,3016,0.0,0.0,unknown,17.920465230941772
1,crashbench-abo8,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,ok,0,0,1,1,2,3609,353,3962,0.0,0.0014317499999999999,unknown,5.356509685516357
1,crashbench-abo8,openrouter/nvidia/nemotron-3-nano-30b-a3b,nemotron-30B,ok,ok,0,0,1,1,2,1879,706,2585,0.0,0.0,unknown,5.749639987945557
1,crashbench-abo8,openrouter/openai/gpt-5.5,gpt-5.5,ok,ok,1,1,1,3,5,15649,2137,17786,0.0,0.0,unknown,57.236851930618286
1,crashbench-abo8,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,ok,1,0,0,1,4,10422,695,11117,0.0,0.0,unknown,9.734869480133057
2,crashbench-abo8,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,ok,0,0,1,1,3,5816,411,6227,0.0,0.0020705000000000003,unknown,6.27737283706665
2,crashbench-abo8,openrouter/openai/gpt-5.5,gpt-5.5,ok,ok,1,0,1,2,6,17303,1377,18680,0.0,0.0,unknown,32.880154609680176
2,crashbench-abo8,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,ok,1,0,1,2,4,11965,910,12875,0.0,0.0,unknown,12.45147967338562
3,crashbench-abo8,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,ok,1,0,1,2,69,19389,1179,20568,0.0,0.0,unknown,200.4453375339508
3,crashbench-abo8,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,ok,0,0,1,1,14,2734,456,3190,0.0,0.0163625,unknown,16.5435049533844
3,crashbench-abo8,openrouter/nvidia/nemotron-3-nano-30b-a3b,nemotron-30B,ok,ok,0,1,1,2,11,2434,1814,4248,0.0,0.0,unknown,83.65851306915283
3,crashbench-abo8,openrouter/openai/gpt-5.5,gpt-5.5,ok,ok,0,1,1,2,43,4818,1587,6405,0.0,1.4032400000000005,unknown,139.654039144516
3,crashbench-abo8,openrouter/qwen/qwen3-30b-a3b-instruct-2507,qwen-30B,ok,ok,0,0,1,1,4,1264,979,2243,0.0,0.0,unknown,13.727149724960327
1,juliet-cwe121-char-type-overrun-memcpy-01,openrouter/anthropic/claude-sonnet-4.5,claude-sonnet-4.5,ok,ok,1,1,0,2,8,28965,1856,30821,0.0,0.051393,unknown,42.97175168991089
1,juliet-cwe121-char-type-overrun-memcpy-01,openrouter/google/gemini-3.1-flash-lite-preview,gemini-3.1-FL,ok,ok,1,1,0,2,3,8076,777,8853,0.0,0.0031845,unknown,5.1335155963897705
1,juliet-cwe121-char-type-overrun-memcpy-01,openrouter/nvidia/nemotron-3-nano-30b-a3b,nemotron-30B,ok,ok,0,0,0,0,1,718,1970,2688,0.0,0.0,unknown,19.846917629241943
