run_id,case_id,model,tool_config,context_lines,tier,trial,status,elapsed_s,exit_code,root_cause,local_fix,global_fix,judge_status,judge_model,mut_input_tokens,mut_output_tokens,num_tool_calls,tool_frequency_json,total_code_length
crashbench-abo1__tier1__openrouter_anthropic_claude-sonnet-4.5__tier1_bash_only__ctx10__t1,crashbench-abo1,openrouter/anthropic/claude-sonnet-4.5,tier1_bash_only.json,10,1,1,ok,48.093,0,1,0,1,ok,openrouter/openai/gpt-5,24207,1830,7,"{""ls"": 1, ""cat"": 2, ""prog"": 1, ""gdb"": 1, ""echo"": 2}",0
crashbench-abo1__tier1__openrouter_google_gemini-3.1-flash-lite-preview__tier1_bash_only__ctx10__t1,crashbench-abo1,openrouter/google/gemini-3.1-flash-lite-preview,tier1_bash_only.json,10,1,1,ok,31.109,0,1,0,1,ok,openrouter/openai/gpt-5,4155,336,2,"{""ls"": 1, ""echo"": 1}",0
crashbench-abo1__tier1__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier1_bash_only__ctx10__t1,crashbench-abo1,openrouter/nvidia/nemotron-3-nano-30b-a3b,tier1_bash_only.json,10,1,1,ok,27.606,0,0,0,0,ok,openrouter/openai/gpt-5,891,1500,1,"{""echo"": 1}",0
crashbench-abo1__tier1__openrouter_openai_gpt-5.5__tier1_bash_only__ctx10__t1,crashbench-abo1,openrouter/openai/gpt-5.5,tier1_bash_only.json,10,1,1,ok,48.186,0,1,1,1,ok,openrouter/openai/gpt-5,8039,1762,5,"{""ls"": 1, ""prog"": 1, ""python3"": 1, ""echo"": 2}",0
crashbench-abo1__tier1__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier1_bash_only__ctx10__t1,crashbench-abo1,openrouter/qwen/qwen3-30b-a3b-instruct-2507,tier1_bash_only.json,10,1,1,ok,23.583,0,1,0,1,ok,openrouter/openai/gpt-5,10665,676,5,"{""ls"": 1, ""cat"": 1, ""prog"": 1, ""gdb"": 1, ""echo"": 1}",0
crashbench-abo1__tier2__openrouter_anthropic_claude-sonnet-4.5__tier2_gdb_plus_bash__ctx10__t1,crashbench-abo1,openrouter/anthropic/claude-sonnet-4.5,tier2_gdb_plus_bash.json,10,2,1,ok,35.036,0,1,0,1,ok,openrouter/openai/gpt-5,21709,1137,6,"{""nl"": 1, ""run"": 1, ""echo"": 2, ""cat"": 1, ""grep"": 1}",0
crashbench-abo1__tier2__openrouter_google_gemini-3.1-flash-lite-preview__tier2_gdb_plus_bash__ctx10__t1,crashbench-abo1,openrouter/google/gemini-3.1-flash-lite-preview,tier2_gdb_plus_bash.json,10,2,1,ok,11.107,0,0,0,0,no_prose_synthesis,openrouter/openai/gpt-5,5837,98,3,"{""nl"": 1, ""run"": 1, ""echo"": 1}",0
crashbench-abo1__tier2__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier2_gdb_plus_bash__ctx10__t1,crashbench-abo1,openrouter/nvidia/nemotron-3-nano-30b-a3b,tier2_gdb_plus_bash.json,10,2,1,timeout,294.646,-1,0,0,0,ok,openrouter/openai/gpt-5,0,0,0,{},0
crashbench-abo1__tier2__openrouter_openai_gpt-5.5__tier2_gdb_plus_bash__ctx10__t1,crashbench-abo1,openrouter/openai/gpt-5.5,tier2_gdb_plus_bash.json,10,2,1,ok,44.233,0,1,1,1,ok,openrouter/openai/gpt-5,13329,1343,5,"{""nl"": 1, ""run"": 1, ""break"": 1, ""print"": 1, ""echo"": 1}",0
crashbench-abo1__tier2__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier2_gdb_plus_bash__ctx10__t1,crashbench-abo1,openrouter/qwen/qwen3-30b-a3b-instruct-2507,tier2_gdb_plus_bash.json,10,2,1,ok,30.223,0,1,0,1,ok,openrouter/openai/gpt-5,16321,1004,5,"{""nl"": 1, ""run"": 2, ""frame"": 1, ""echo"": 1}",0
