model,tool_config,n,root_cause_mean,local_fix_mean,global_fix_mean,elapsed_s_mean,input_tokens_mean,output_tokens_mean,tool_calls_mean,code_length_mean,tool_histogram
haiku,tier4_claude_code.json,11,,,,0.0,0,0,0,0,{}
openrouter/anthropic/claude-sonnet-4.5,t3_unfenced_cmw.json,11,0.3636,0.3636,0.4545,200.6937,7414.5455,570.7273,32.9091,336.6364,"{""bt"": 14, ""info"": 42, ""run"": 31, ""start"": 16, ""code"": 39, ""list"": 15, ""print"": 49, ""break"": 20, ""continue"": 35, ""call"": 6, ""next"": 19, ""handle"": 1, ""step"": 4, ""finish"": 1, ""x/32gx"": 1, ""x/8gx"": 1, ""set"": 9, ""delete"": 9, ""file"": 3, ""show"": 1, ""backtrace"": 9, ""shell"": 1, ""catch"": 4, ""inferior"": 1, ""frame"": 12, ""x/64xb"": 1, ""x/32xb"": 3, ""ptype"": 1, ""x/s"": 1, ""x/8c"": 1, ""where"": 10, ""condition"": 1, ""x/10i"": 1}"
openrouter/anthropic/claude-sonnet-4.5,tier1_bash_only.json,11,0.6364,0.1818,0.5455,170.6279,18004.6364,1283.9091,4.9091,0,"{""ls"": 7, ""cat"": 17, ""prog"": 7, ""gdb"": 7, ""echo"": 15, ""find"": 1}"
openrouter/anthropic/claude-sonnet-4.5,tier2_gdb_plus_bash.json,11,0.4545,0.0909,0.4545,182.8531,16918.0909,745.2727,4.0909,0,"{""nl"": 5, ""run"": 5, ""echo"": 11, ""cat"": 8, ""grep"": 4, ""gcc"": 1, ""interrupt"": 1, ""file"": 1, ""timeout"": 1, ""info"": 1, ""bt"": 1, ""frame"": 1, ""python3"": 2, ""print"": 2, ""delete"": 1}"
openrouter/google/gemini-3.1-flash-lite-preview,t3_unfenced_cmw.json,11,0.7273,0.4545,0.5455,43.4519,3650.7273,471.4545,22.1818,142.7273,"{""run"": 40, ""break"": 28, ""code"": 16, ""print"": 26, ""step"": 23, ""#"": 9, ""info"": 5, ""next"": 10, ""list"": 13, ""continue"": 19, ""breakpoint"": 1, ""delete"": 2, ""n"": 7, ""start"": 14, ""disassemble"": 1, ""bt"": 2, ""b"": 10, ""p"": 4, ""c"": 2, ""s"": 4, ""frame"": 2, ""r"": 1, ""strlen(argc[1])"": 1, ""print/x"": 1, ""display"": 1, ""search"": 1, ""grep"": 1}"
openrouter/google/gemini-3.1-flash-lite-preview,tier1_bash_only.json,11,0.5455,0.3636,0.7273,35.1805,5166.1818,458.5455,2.1818,0,"{""ls"": 11, ""echo"": 12, ""sed"": 1}"
openrouter/google/gemini-3.1-flash-lite-preview,tier2_gdb_plus_bash.json,11,0.1818,0.1818,0.1818,45.0522,13359.9091,286,4.0909,0,"{""nl"": 10, ""run"": 10, ""echo"": 14, ""#"": 5, ""frame"": 4, ""break"": 1, ""print"": 1}"
openrouter/nvidia/nemotron-3-nano-30b-a3b,t3_unfenced_cmw.json,11,0.3636,0.3636,0.6364,133.4842,1503.5455,1799,4.6364,309.2727,"{""code"": 38, ""list"": 2, ""bt"": 7, ""run"": 3, ""info"": 1}"
openrouter/nvidia/nemotron-3-nano-30b-a3b,tier1_bash_only.json,11,0,0,0.1818,117.3384,532,755,0.7273,0,"{""echo"": 7, ""cat"": 1}"
openrouter/nvidia/nemotron-3-nano-30b-a3b,tier2_gdb_plus_bash.json,11,0.0909,0.0909,0.0909,270.6401,837.3636,92.3636,0.2727,0,"{""prog"": 1, ""nl"": 1, ""echo"": 1}"
openrouter/openai/gpt-5.5,t3_unfenced_cmw.json,11,0.7273,0.7273,0.8182,132.552,3857.8182,1342.6364,27.4545,1378.2727,"{""bt"": 30, ""info"": 32, ""run"": 20, ""code"": 70, ""break"": 19, ""print"": 63, ""next"": 19, ""continue"": 10, ""delete"": 2, ""set"": 4, ""inferior"": 1, ""file"": 1, ""disable"": 1, ""frame"": 7, ""shell"": 1, ""list"": 5, ""show"": 1, ""start"": 1, ""disassemble"": 1, ""step"": 1, ""p"": 7, ""p/x"": 2, ""x/32xb"": 2, ""x/120cb"": 1, ""x/16bx"": 1}"
openrouter/openai/gpt-5.5,tier1_bash_only.json,11,0.9091,0.9091,0.9091,83.2402,9686.0909,1375.6364,4.5455,0,"{""ls"": 8, ""prog"": 4, ""python3"": 1, ""echo"": 12, ""printf"": 5, ""gdb"": 7, ""nl"": 4, ""set"": 1, ""prog;"": 5, ""cat"": 2, ""file"": 1}"
openrouter/openai/gpt-5.5,tier2_gdb_plus_bash.json,11,0.9091,0.8182,1,56.0251,14239.7273,1171.9091,5,0,"{""nl"": 11, ""run"": 11, ""break"": 10, ""print"": 5, ""echo"": 11, ""bt"": 1, ""p"": 1, ""grep"": 2, ""frame"": 2, ""y"": 1}"
openrouter/qwen/qwen3-30b-a3b-instruct-2507,t3_unfenced_cmw.json,11,0.3636,0.1818,0.6364,56.2972,1864.2727,877.3636,6.2727,350.4545,"{""info"": 13, ""where"": 1, ""print"": 11, ""set"": 5, ""code"": 25, ""bt"": 3, ""frame"": 4, ""backtrace"": 3, ""run"": 2, ""list"": 1, ""break"": 1}"
openrouter/qwen/qwen3-30b-a3b-instruct-2507,tier1_bash_only.json,11,0.5455,0.1818,0.3636,105.3315,10049.3636,390.6364,3.5455,0,"{""ls"": 8, ""cat"": 7, ""prog"": 8, ""gdb"": 8, ""echo"": 8}"
openrouter/qwen/qwen3-30b-a3b-instruct-2507,tier2_gdb_plus_bash.json,11,0.6364,0.0909,0.5455,134.3635,8444.1818,474.5455,2.9091,0,"{""nl"": 7, ""run"": 9, ""frame"": 9, ""echo"": 7}"
sonnet,tier4_claude_code.json,11,,,,0.0,0,0,0,0,{}
