run_id,case_id,model,tool_config,context_lines,tier,trial,status,elapsed_s,exit_code,root_cause,local_fix,global_fix,judge_status,judge_model,mut_input_tokens,mut_output_tokens,num_tool_calls,tool_frequency_json,total_code_length
crashbench-abo1__tier1__openrouter_anthropic_claude-sonnet-4.5__tier1_bash_only__ctx10__t1,crashbench-abo1,openrouter/anthropic/claude-sonnet-4.5,tier1_bash_only.json,10,1,1,ok,48.093,0,1,0,1,ok,openrouter/openai/gpt-5,24207,1830,7,"{""ls"": 1, ""cat"": 2, ""prog"": 1, ""gdb"": 1, ""echo"": 2}",0
crashbench-abo1__tier1__openrouter_google_gemini-3.1-flash-lite-preview__tier1_bash_only__ctx10__t1,crashbench-abo1,openrouter/google/gemini-3.1-flash-lite-preview,tier1_bash_only.json,10,1,1,ok,31.109,0,,,,,,4155,336,2,"{""ls"": 1, ""echo"": 1}",0
crashbench-abo1__tier1__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier1_bash_only__ctx10__t1,crashbench-abo1,openrouter/nvidia/nemotron-3-nano-30b-a3b,tier1_bash_only.json,10,1,1,ok,27.606,0,,,,,,891,1500,1,"{""echo"": 1}",0
crashbench-abo1__tier1__openrouter_openai_gpt-5.5__tier1_bash_only__ctx10__t1,crashbench-abo1,openrouter/openai/gpt-5.5,tier1_bash_only.json,10,1,1,ok,48.186,0,,,,,,8039,1762,5,"{""ls"": 1, ""prog"": 1, ""python3"": 1, ""echo"": 2}",0
crashbench-abo1__tier1__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier1_bash_only__ctx10__t1,crashbench-abo1,openrouter/qwen/qwen3-30b-a3b-instruct-2507,tier1_bash_only.json,10,1,1,ok,23.583,0,,,,,,10665,676,5,"{""ls"": 1, ""cat"": 1, ""prog"": 1, ""gdb"": 1, ""echo"": 1}",0
crashbench-abo1__tier2__openrouter_anthropic_claude-sonnet-4.5__tier2_gdb_plus_bash__ctx10__t1,crashbench-abo1,openrouter/anthropic/claude-sonnet-4.5,tier2_gdb_plus_bash.json,10,2,1,ok,35.036,0,,,,,,21709,1137,6,"{""nl"": 1, ""run"": 1, ""echo"": 2, ""cat"": 1, ""grep"": 1}",0
crashbench-abo1__tier2__openrouter_google_gemini-3.1-flash-lite-preview__tier2_gdb_plus_bash__ctx10__t1,crashbench-abo1,openrouter/google/gemini-3.1-flash-lite-preview,tier2_gdb_plus_bash.json,10,2,1,ok,11.107,0,0,0,0,no_prose_synthesis,openrouter/openai/gpt-5,5837,98,3,"{""nl"": 1, ""run"": 1, ""echo"": 1}",0
crashbench-abo1__tier2__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier2_gdb_plus_bash__ctx10__t1,crashbench-abo1,openrouter/nvidia/nemotron-3-nano-30b-a3b,tier2_gdb_plus_bash.json,10,2,1,timeout,294.646,-1,,,,,,0,0,0,,0
crashbench-abo1__tier2__openrouter_openai_gpt-5.5__tier2_gdb_plus_bash__ctx10__t1,crashbench-abo1,openrouter/openai/gpt-5.5,tier2_gdb_plus_bash.json,10,2,1,ok,44.233,0,,,,,,13329,1343,5,"{""nl"": 1, ""run"": 1, ""break"": 1, ""print"": 1, ""echo"": 1}",0
crashbench-abo1__tier2__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier2_gdb_plus_bash__ctx10__t1,crashbench-abo1,openrouter/qwen/qwen3-30b-a3b-instruct-2507,tier2_gdb_plus_bash.json,10,2,1,ok,30.223,0,,,,,,16321,1004,5,"{""nl"": 1, ""run"": 2, ""frame"": 1, ""echo"": 1}",0
crashbench-abo1__tier3__openrouter_anthropic_claude-sonnet-4.5__tier3_gdb_only__ctx10__t1,crashbench-abo1,openrouter/anthropic/claude-sonnet-4.5,tier3_gdb_only.json,10,3,1,ok,40.406,0,,,,,,0,0,0,{},0
crashbench-abo1__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1,crashbench-abo1,openrouter/google/gemini-3.1-flash-lite-preview,tier3_gdb_only.json,10,3,1,ok,36.94,0,,,,,,4795,348,32,"{""run"": 8, ""start"": 1, ""backtrace"": 2, ""help"": 2, ""list"": 3, ""break"": 6, ""gdb"": 2, ""file"": 1, ""r"": 1, ""b"": 1, ""run`"": 1, ""-exec"": 1, ""br"": 1, ""code"": 2}",91
crashbench-abo1__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1,crashbench-abo1,openrouter/nvidia/nemotron-3-nano-30b-a3b,tier3_gdb_only.json,10,3,1,ok,93.81,0,0,0,0,no_prose_synthesis,openrouter/openai/gpt-5,0,0,1,"{""bt"": 1}",0
crashbench-abo1__tier3__openrouter_openai_gpt-5.5__tier3_gdb_only__ctx10__t1,crashbench-abo1,openrouter/openai/gpt-5.5,tier3_gdb_only.json,10,3,1,ok,102.064,0,0,0,0,no_prose_synthesis,openrouter/openai/gpt-5,0,0,19,"{""bt"": 1, ""info"": 6, ""pwd"": 1, ""shell"": 1, ""code"": 3, ""run"": 1, ""list"": 1, ""break"": 1, ""disassemble"": 1, ""print"": 1, ""x/40i"": 1, ""start"": 1}",0
crashbench-abo1__tier3__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier3_gdb_only__ctx10__t1,crashbench-abo1,openrouter/qwen/qwen3-30b-a3b-instruct-2507,tier3_gdb_only.json,10,3,1,ok,13.674,0,,,,,,3376,281,4,"{""info"": 3, ""bt"": 1}",503
crashbench-abo1__tier4__haiku__tier4_claude_code__ctx10__t1,crashbench-abo1,haiku,tier4_claude_code.json,10,4,1,missing_dep,0.0,-1,,,,,,0,0,0,,0
crashbench-abo1__tier4__sonnet__tier4_claude_code__ctx10__t1,crashbench-abo1,sonnet,tier4_claude_code.json,10,4,1,missing_dep,0.0,-1,,,,,,0,0,0,,0
crashbench-abo2__tier1__openrouter_anthropic_claude-sonnet-4.5__tier1_bash_only__ctx10__t1,crashbench-abo2,openrouter/anthropic/claude-sonnet-4.5,tier1_bash_only.json,10,1,1,ok,290.996,0,,,,,,25921,1824,7,"{""ls"": 1, ""cat"": 2, ""prog"": 1, ""gdb"": 1, ""echo"": 2}",0
crashbench-abo2__tier1__openrouter_google_gemini-3.1-flash-lite-preview__tier1_bash_only__ctx10__t1,crashbench-abo2,openrouter/google/gemini-3.1-flash-lite-preview,tier1_bash_only.json,10,1,1,ok,20.448,0,,,,,,3669,327,2,"{""ls"": 1, ""echo"": 1}",0
crashbench-abo2__tier1__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier1_bash_only__ctx10__t1,crashbench-abo2,openrouter/nvidia/nemotron-3-nano-30b-a3b,tier1_bash_only.json,10,1,1,timeout,294.198,-1,,,,,,0,0,0,,0
crashbench-abo2__tier1__openrouter_openai_gpt-5.5__tier1_bash_only__ctx10__t1,crashbench-abo2,openrouter/openai/gpt-5.5,tier1_bash_only.json,10,1,1,ok,51.136,0,,,,,,8163,1486,3,"{""printf"": 2, ""echo"": 1}",0
crashbench-abo2__tier1__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier1_bash_only__ctx10__t1,crashbench-abo2,openrouter/qwen/qwen3-30b-a3b-instruct-2507,tier1_bash_only.json,10,1,1,ok,17.548,0,,,,,,10752,747,5,"{""ls"": 1, ""cat"": 1, ""prog"": 1, ""gdb"": 1, ""echo"": 1}",0
crashbench-abo2__tier2__openrouter_anthropic_claude-sonnet-4.5__tier2_gdb_plus_bash__ctx10__t1,crashbench-abo2,openrouter/anthropic/claude-sonnet-4.5,tier2_gdb_plus_bash.json,10,2,1,ok,65.328,0,,,,,,33207,1585,8,"{""nl"": 1, ""run"": 1, ""echo"": 2, ""cat"": 2, ""gcc"": 1, ""grep"": 1}",0
crashbench-abo2__tier2__openrouter_google_gemini-3.1-flash-lite-preview__tier2_gdb_plus_bash__ctx10__t1,crashbench-abo2,openrouter/google/gemini-3.1-flash-lite-preview,tier2_gdb_plus_bash.json,10,2,1,ok,11.138,0,0,0,0,no_prose_synthesis,openrouter/openai/gpt-5,5917,98,3,"{""nl"": 1, ""run"": 1, ""echo"": 1}",0
crashbench-abo2__tier2__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier2_gdb_plus_bash__ctx10__t1,crashbench-abo2,openrouter/nvidia/nemotron-3-nano-30b-a3b,tier2_gdb_plus_bash.json,10,2,1,timeout,294.339,-1,,,,,,0,0,0,,0
crashbench-abo2__tier2__openrouter_openai_gpt-5.5__tier2_gdb_plus_bash__ctx10__t1,crashbench-abo2,openrouter/openai/gpt-5.5,tier2_gdb_plus_bash.json,10,2,1,ok,66.219,0,,,,,,11507,1012,5,"{""nl"": 1, ""run"": 1, ""break"": 1, ""bt"": 1, ""echo"": 1}",0
crashbench-abo2__tier2__openrouter_qwen_qwen3-30b-a3b-instruct-2507__tier2_gdb_plus_bash__ctx10__t1,crashbench-abo2,openrouter/qwen/qwen3-30b-a3b-instruct-2507,tier2_gdb_plus_bash.json,10,2,1,ok,139.985,0,,,,,,10266,793,4,"{""nl"": 1, ""run"": 1, ""frame"": 1, ""echo"": 1}",0
crashbench-abo2__tier3__openrouter_anthropic_claude-sonnet-4.5__tier3_gdb_only__ctx10__t1,crashbench-abo2,openrouter/anthropic/claude-sonnet-4.5,tier3_gdb_only.json,10,3,1,ok,102.941,0,,,,,,0,0,11,"{""bt"": 1, ""info"": 4, ""run"": 1, ""where"": 1, ""frame"": 1, ""list"": 2, ""code"": 1}",0
crashbench-abo2__tier3__openrouter_google_gemini-3.1-flash-lite-preview__tier3_gdb_only__ctx10__t1,crashbench-abo2,openrouter/google/gemini-3.1-flash-lite-preview,tier3_gdb_only.json,10,3,1,ok,27.665,0,,,,,,2654,427,20,"{""bt"": 1, ""run"": 4, ""start"": 1, ""list"": 3, ""code"": 1, ""break"": 2, ""gdb"": 1, ""startI"": 1, ""b"": 2, ""info"": 2, ""catch"": 1, ""display/i"": 1}",176
crashbench-abo2__tier3__openrouter_nvidia_nemotron-3-nano-30b-a3b__tier3_gdb_only__ctx10__t1,crashbench-abo2,openrouter/nvidia/nemotron-3-nano-30b-a3b,tier3_gdb_only.json,10,3,1,ok,97.114,0,,,,,,0,0,0,{},0
