case_id,n,root_cause_mean,local_fix_mean,global_fix_mean,elapsed_s_mean,input_tokens_mean,output_tokens_mean,tool_calls_mean,code_length_mean,tool_histogram
crashbench-abo1,17,0.25,0,0.25,51.8068,6666.1176,606.7647,5.5882,34.9412,"{""ls"": 4, ""cat"": 4, ""prog"": 3, ""gdb"": 4, ""echo"": 12, ""python3"": 1, ""nl"": 4, ""run"": 14, ""grep"": 1, ""break"": 8, ""print"": 2, ""frame"": 1, ""start"": 2, ""backtrace"": 2, ""help"": 2, ""list"": 4, ""file"": 1, ""r"": 1, ""b"": 1, ""run`"": 1, ""-exec"": 1, ""br"": 1, ""code"": 5, ""bt"": 3, ""info"": 9, ""pwd"": 1, ""shell"": 1, ""disassemble"": 1, ""x/40i"": 1}"
crashbench-abo2,17,0,0,0,98.9606,7280.1765,652.1176,5.5294,164.4706,"{""ls"": 3, ""cat"": 5, ""prog"": 2, ""gdb"": 3, ""echo"": 10, ""printf"": 2, ""nl"": 4, ""run"": 10, ""gcc"": 1, ""grep"": 1, ""break"": 4, ""bt"": 4, ""frame"": 2, ""info"": 13, ""where"": 1, ""list"": 9, ""code"": 6, ""start"": 2, ""startI"": 1, ""b"": 2, ""catch"": 1, ""display/i"": 1, ""pwd"": 1, ""shell"": 1, ""disassemble"": 2, ""print"": 2, ""x/30i"": 1}"
crashbench-abo3,17,0,0,0,127.2486,5096.8235,374.7059,5.1176,84.4706,"{""ls"": 2, ""cat"": 2, ""prog"": 1, ""gdb"": 1, ""echo"": 7, ""nl"": 3, ""run"": 11, ""break"": 7, ""print"": 1, ""frame"": 2, ""info"": 17, ""backtrace"": 1, ""where"": 1, ""list"": 5, ""code"": 7, ""start"": 2, ""show"": 1, ""help"": 2, ""shell"": 4, ""b"": 4, ""set"": 2, ""disassemble"": 1, ""bt"": 2, ""pwd"": 1}"
crashbench-abo5,17,0,0,0,105.3494,7510.8824,578.7059,4.5294,13.7059,"{""ls"": 3, ""cat"": 5, ""prog"": 3, ""gdb"": 4, ""echo"": 10, ""nl"": 4, ""run"": 7, ""interrupt"": 1, ""file"": 1, ""timeout"": 1, ""grep"": 1, ""#"": 1, ""break"": 2, ""print"": 2, ""bt"": 2, ""info"": 9, ""list"": 5, ""code"": 9, ""start"": 1, ""set"": 2, ""n"": 1, ""disassemble"": 1, ""x/20i"": 1, ""shell"": 1}"
crashbench-abo7,17,0,0,0,73.4101,7286.2353,521.4118,6.4706,45.1765,"{""ls"": 4, ""cat"": 4, ""prog"": 3, ""echo"": 11, ""gdb"": 6, ""nl"": 5, ""run"": 13, ""grep"": 1, ""info"": 15, ""break"": 6, ""p"": 2, ""backtrace"": 1, ""where"": 1, ""frame"": 1, ""list"": 6, ""print"": 6, ""x/64x"": 1, ""code"": 10, ""show"": 1, ""disassemble"": 1, ""start"": 2, ""file"": 1, ""set"": 2, ""r"": 1, ""b"": 1, ""help"": 1, ""bt"": 3, ""pwd"": 1}"
crashbench-abo8,17,0,0,0,81.9294,4865.7647,1901.7059,4.8824,133.8824,"{""ls"": 2, ""echo"": 7, ""cat"": 1, ""set"": 1, ""printf"": 2, ""gdb"": 3, ""prog"": 1, ""nl"": 3, ""run"": 13, ""break"": 4, ""print"": 1, ""grep"": 1, ""backtrace"": 1, ""info"": 12, ""file"": 2, ""list"": 7, ""code"": 7, ""shell"": 1, ""start"": 2, ""breakpoint"": 1, ""b"": 1, ""help"": 1, ""r"": 1, ""tbreak"": 1, ""bt"": 3, ""pwd"": 1, ""p"": 1, ""disassemble"": 1, ""ptype"": 1}"
juliet-cwe121-char-type-overrun-memcpy-01,17,0,0,0,86.0683,6142.1176,746.7647,5.0588,167.7059,"{""ls"": 4, ""cat"": 4, ""prog"": 2, ""gdb"": 3, ""echo"": 10, ""prog;"": 1, ""nl"": 2, ""run"": 3, ""frame"": 6, ""break"": 1, ""y"": 1, ""info"": 7, ""bt"": 1, ""code"": 28, ""p"": 3, ""p/x"": 1, ""x/32bx"": 1, ""print"": 4, ""start"": 1, ""x/s"": 1, ""disassemble"": 1, ""backtrace"": 1}"
juliet-cwe122-char-type-overrun-memcpy-01,17,0,0,0,69.8387,12015.4706,875.7059,7.8824,208.9412,"{""ls"": 4, ""cat"": 8, ""prog"": 2, ""gdb"": 3, ""find"": 1, ""echo"": 11, ""prog;"": 1, ""nl"": 5, ""file"": 1, ""run"": 5, ""bt"": 2, ""frame"": 17, ""python3"": 2, ""print"": 14, ""delete"": 1, ""info"": 8, ""x/8bx"": 1, ""code"": 35, ""p"": 4, ""backtrace"": 1, ""shell"": 1, ""disassemble"": 1, ""list"": 2, ""f"": 1, ""set"": 1, ""x/s"": 1, ""x/10x"": 1}"
juliet-cwe126-char-alloca-loop-01,17,0,0,0,111.031,7410.2353,369.5294,3.4706,8.1176,"{""ls"": 4, ""sed"": 1, ""echo"": 7, ""prog;"": 1, ""gdb"": 2, ""printf"": 1, ""cat"": 1, ""prog"": 1, ""nl"": 2, ""run"": 4, ""break"": 2, ""print"": 2, ""#"": 4, ""grep"": 1, ""backtrace"": 1, ""info"": 4, ""where"": 1, ""list"": 7, ""code"": 9, ""shell"": 1, ""bt"": 2, ""find"": 1}"
juliet-cwe415-malloc-free-char-01,17,0,0,0,74.2599,4539.5294,573,4,67.5294,"{""ls"": 2, ""echo"": 7, ""prog;"": 1, ""nl"": 5, ""gdb"": 1, ""run"": 7, ""prog"": 1, ""break"": 1, ""backtrace"": 2, ""bt"": 3, ""start"": 1, ""info"": 16, ""disassemble"": 1, ""list"": 2, ""code"": 17, ""shell"": 1}"
juliet-cwe416-malloc-free-char-01,17,0,0,0,110.3781,3613.4706,245.8235,3.1176,12.1176,"{""ls"": 4, ""echo"": 6, ""prog;"": 1, ""cat"": 1, ""prog"": 1, ""gdb"": 1, ""nl"": 1, ""run"": 3, ""break"": 1, ""info"": 7, ""start"": 1, ""list"": 5, ""code"": 16, ""bt"": 3, ""file"": 1, ""show"": 1}"
