model_label,model,tier,n,root_cause_mean,local_fix_mean,global_fix_mean,total_score_mean,total_score_norm_mean,tokens_mean
claude-sonnet,openrouter/anthropic/claude-sonnet-4.5,1,11,0.6364,0.1818,0.5455,1.3636,0.4545,19288.55
claude-sonnet,openrouter/anthropic/claude-sonnet-4.5,2,11,0.4545,0.0909,0.4545,1.0,0.3333,17663.36
claude-sonnet,openrouter/anthropic/claude-sonnet-4.5,3,11,0.3636,0.3636,0.4545,1.1818,0.3939,7985.27
gemini,openrouter/google/gemini-3.1-flash-lite-preview,1,11,0.5455,0.3636,0.7273,1.6364,0.5455,5624.73
gemini,openrouter/google/gemini-3.1-flash-lite-preview,2,11,0.1818,0.1818,0.1818,0.5455,0.1818,13645.91
gemini,openrouter/google/gemini-3.1-flash-lite-preview,3,11,0.7273,0.4545,0.5455,1.7273,0.5758,4122.18
gpt-5.5,openrouter/openai/gpt-5.5,1,11,0.9091,0.9091,0.9091,2.7273,0.9091,11061.73
gpt-5.5,openrouter/openai/gpt-5.5,2,11,0.9091,0.8182,1.0,2.7273,0.9091,15411.64
gpt-5.5,openrouter/openai/gpt-5.5,3,11,0.7273,0.7273,0.8182,2.2727,0.7576,5200.45
nemotron,openrouter/nvidia/nemotron-3-nano-30b-a3b,1,11,0.0,0.0,0.1818,0.1818,0.0606,1287.0
nemotron,openrouter/nvidia/nemotron-3-nano-30b-a3b,2,11,0.0909,0.0909,0.0909,0.2727,0.0909,929.73
nemotron,openrouter/nvidia/nemotron-3-nano-30b-a3b,3,11,0.3636,0.3636,0.6364,1.3636,0.4545,3302.55
qwen,openrouter/qwen/qwen3-30b-a3b-instruct-2507,1,11,0.5455,0.1818,0.3636,1.0909,0.3636,10440.0
qwen,openrouter/qwen/qwen3-30b-a3b-instruct-2507,2,11,0.6364,0.0909,0.5455,1.2727,0.4242,8918.73
qwen,openrouter/qwen/qwen3-30b-a3b-instruct-2507,3,11,0.3636,0.1818,0.6364,1.1818,0.3939,2741.64
