model,command,count
gemini-3.1-FL,print,31
gemini-3.1-FL,run,41
gemini-3.1-FL,info,5
gemini-3.1-FL,backtrace,2
gemini-3.1-FL,break,38
gemini-3.1-FL,continue,21
gemini-3.1-FL,next,17
gemini-3.1-FL,list,13
gemini-3.1-FL,step,27
gemini-3.1-FL,start,14
gemini-3.1-FL,other,8
gpt-5.5,print,72
gpt-5.5,run,20
gpt-5.5,info,32
gpt-5.5,backtrace,30
gpt-5.5,break,19
gpt-5.5,continue,10
gpt-5.5,next,19
gpt-5.5,list,5
gpt-5.5,step,1
gpt-5.5,start,1
gpt-5.5,other,22
nemotron-30B,print,0
nemotron-30B,run,3
nemotron-30B,info,1
nemotron-30B,backtrace,7
nemotron-30B,break,0
nemotron-30B,continue,0
nemotron-30B,next,0
nemotron-30B,list,2
nemotron-30B,step,0
nemotron-30B,start,0
nemotron-30B,other,0
qwen-30B,print,11
qwen-30B,run,2
qwen-30B,info,13
qwen-30B,backtrace,7
qwen-30B,break,1
qwen-30B,continue,0
qwen-30B,next,0
qwen-30B,list,1
qwen-30B,step,0
qwen-30B,start,0
qwen-30B,other,9
sonnet-4.5,print,49
sonnet-4.5,run,31
sonnet-4.5,info,42
sonnet-4.5,backtrace,33
sonnet-4.5,break,20
sonnet-4.5,continue,35
sonnet-4.5,next,19
sonnet-4.5,list,15
sonnet-4.5,step,4
sonnet-4.5,start,16
sonnet-4.5,other,58
