case_id,n,root_cause_mean,local_fix_mean,global_fix_mean,elapsed_s_mean,input_tokens_mean,output_tokens_mean,tool_calls_mean,code_length_mean,tool_histogram
crashbench-abo1,17,0.6,0.1333,0.6667,62.5898,6676.4706,749.3529,4.1765,41.6471,"{""ls"": 4, ""cat"": 4, ""prog"": 3, ""gdb"": 2, ""echo"": 12, ""python3"": 1, ""nl"": 4, ""run"": 8, ""grep"": 1, ""break"": 5, ""print"": 4, ""frame"": 1, ""code"": 7, ""step"": 2, ""#"": 2, ""info"": 2, ""next"": 1, ""list"": 1, ""bt"": 1, ""where"": 1, ""set"": 5}"
crashbench-abo2,17,0.5333,0.1333,0.6667,107.0038,6908.2941,685.4706,4.0588,124.8235,"{""ls"": 3, ""cat"": 5, ""prog"": 2, ""gdb"": 2, ""echo"": 10, ""printf"": 2, ""nl"": 4, ""run"": 6, ""gcc"": 1, ""grep"": 1, ""break"": 2, ""bt"": 6, ""frame"": 1, ""code"": 10, ""info"": 5, ""print"": 7, ""next"": 2}"
crashbench-abo3,17,0.4,0.1333,0.4667,158.5836,5152.5294,390.6471,9.7647,37.3529,"{""ls"": 2, ""cat"": 2, ""prog"": 1, ""gdb"": 1, ""echo"": 7, ""nl"": 3, ""run"": 23, ""break"": 12, ""print"": 25, ""frame"": 1, ""bt"": 14, ""info"": 6, ""start"": 15, ""code"": 14, ""list"": 3, ""continue"": 12, ""call"": 3, ""next"": 4, ""handle"": 1, ""step"": 3, ""finish"": 1, ""x/32gx"": 1, ""x/8gx"": 1, ""set"": 3, ""delete"": 2, ""file"": 2, ""show"": 1, ""breakpoint"": 1, ""n"": 1, ""disassemble"": 1}"
crashbench-abo5,17,0.4667,0.1333,0.5333,126.5812,8162,783,8.9412,143.6471,"{""ls"": 3, ""cat"": 5, ""prog"": 3, ""gdb"": 2, ""echo"": 10, ""nl"": 4, ""run"": 18, ""interrupt"": 1, ""file"": 2, ""timeout"": 1, ""grep"": 1, ""#"": 1, ""break"": 8, ""print"": 17, ""info"": 11, ""bt"": 11, ""code"": 16, ""continue"": 5, ""delete"": 3, ""set"": 6, ""b"": 7, ""p"": 1, ""step"": 2, ""c"": 2, ""n"": 2, ""s"": 3, ""next"": 3, ""inferior"": 1, ""disable"": 1, ""frame"": 2}"
crashbench-abo7,17,0.4667,0.2,0.6,93.6563,6041,581.8824,5.4118,113.7059,"{""ls"": 4, ""cat"": 4, ""prog"": 3, ""echo"": 11, ""gdb"": 3, ""nl"": 5, ""run"": 7, ""grep"": 1, ""info"": 7, ""break"": 4, ""p"": 4, ""bt"": 4, ""start"": 3, ""code"": 6, ""n"": 1, ""frame"": 1, ""continue"": 2, ""s"": 1, ""list"": 2, ""b"": 1, ""r"": 1, ""strlen(argc[1])"": 1, ""print"": 11, ""shell"": 1, ""show"": 1, ""next"": 1, ""disassemble"": 1, ""backtrace"": 1}"
crashbench-abo8,17,0.3333,0.2,0.7333,90.6688,5722.4706,741.4118,9.8235,172.4118,"{""ls"": 2, ""echo"": 7, ""cat"": 1, ""set"": 3, ""printf"": 2, ""gdb"": 2, ""prog"": 1, ""nl"": 3, ""run"": 24, ""break"": 14, ""print"": 23, ""grep"": 1, ""backtrace"": 3, ""info"": 23, ""start"": 2, ""code"": 15, ""call"": 3, ""next"": 5, ""shell"": 1, ""list"": 3, ""continue"": 9, ""step"": 3, ""catch"": 1, ""delete"": 3, ""inferior"": 1, ""frame"": 5, ""x/64xb"": 1, ""bt"": 6}"
juliet-cwe121-char-type-overrun-memcpy-01,17,0.6,0.5333,0.2667,88.2671,6309.8824,947.8235,4.4706,253.9412,"{""ls"": 4, ""cat"": 4, ""prog"": 2, ""gdb"": 3, ""echo"": 10, ""prog;"": 1, ""nl"": 2, ""run"": 5, ""frame"": 6, ""break"": 3, ""y"": 1, ""code"": 15, ""info"": 4, ""backtrace"": 1, ""step"": 1, ""print/x"": 1, ""#"": 3, ""bt"": 1, ""p"": 5, ""p/x"": 2, ""x/32xb"": 2}"
juliet-cwe122-char-type-overrun-memcpy-01,17,0.7333,0.8,0.6,85.2057,12367.4118,974.6471,7.2941,181.5294,"{""ls"": 4, ""cat"": 8, ""prog"": 2, ""gdb"": 3, ""find"": 1, ""echo"": 11, ""prog;"": 1, ""nl"": 5, ""file"": 1, ""run"": 4, ""bt"": 2, ""frame"": 19, ""python3"": 2, ""print"": 11, ""delete"": 1, ""info"": 5, ""x/32xb"": 2, ""list"": 2, ""code"": 20, ""ptype"": 1, ""backtrace"": 1, ""x/s"": 1, ""x/8c"": 1, ""start"": 6, ""b"": 2, ""n"": 2, ""#"": 4, ""p"": 2}"
juliet-cwe126-char-alloca-loop-01,17,0.4,0.5333,0.5333,128.4162,9043.8235,976.3529,13.9412,193.6471,"{""ls"": 3, ""sed"": 1, ""echo"": 7, ""prog;"": 1, ""gdb"": 2, ""printf"": 1, ""cat"": 1, ""prog"": 1, ""nl"": 2, ""run"": 17, ""break"": 13, ""print"": 44, ""#"": 4, ""grep"": 1, ""info"": 16, ""backtrace"": 4, ""start"": 2, ""code"": 45, ""continue"": 23, ""set"": 2, ""delete"": 4, ""catch"": 1, ""file"": 1, ""next"": 15, ""list"": 9, ""where"": 4, ""step"": 2, ""condition"": 1, ""display"": 1, ""bt"": 4, ""x/120cb"": 1, ""frame"": 4}"
juliet-cwe415-malloc-free-char-01,17,0.6,0.5333,0.4,84.6852,3912.3529,547.0588,5.4706,107.4118,"{""ls"": 2, ""echo"": 7, ""prog;"": 1, ""nl"": 5, ""gdb"": 1, ""run"": 9, ""prog"": 1, ""break"": 6, ""list"": 2, ""next"": 9, ""step"": 10, ""continue"": 3, ""n"": 1, ""print"": 5, ""code"": 24, ""bt"": 4, ""info"": 3}"
