# Missing realworld cells — need fresh model runs
# Total: 156
# Format: <case> | T<tier> | <model>

bc-heap-overflow                               | T1 | openrouter/anthropic/claude-sonnet-4.5
bc-heap-overflow                               | T1 | openrouter/google/gemini-2.5-flash
bc-heap-overflow                               | T1 | openrouter/google/gemini-3.1-flash-lite-preview
bc-heap-overflow                               | T1 | openrouter/meta-llama/llama-3.1-8b-instruct
bc-heap-overflow                               | T1 | openrouter/nvidia/nemotron-3-nano-30b-a3b
bc-heap-overflow                               | T1 | openrouter/openai/gpt-5.5
bc-heap-overflow                               | T3 | openrouter/anthropic/claude-sonnet-4.5
bc-heap-overflow                               | T3 | openrouter/google/gemini-2.5-flash
bc-heap-overflow                               | T3 | openrouter/google/gemini-3.1-flash-lite-preview
bc-heap-overflow                               | T3 | openrouter/openai/gpt-5.5
berry-1                                        | T1 | openrouter/anthropic/claude-sonnet-4.5
berry-1                                        | T1 | openrouter/google/gemini-3.1-flash-lite-preview
berry-1                                        | T3 | openrouter/anthropic/claude-sonnet-4.5
berry-1                                        | T3 | openrouter/google/gemini-2.5-flash
berry-1                                        | T3 | openrouter/google/gemini-3.1-flash-lite-preview
berry-1                                        | T3 | openrouter/openai/gpt-5.5
berry-2                                        | T1 | openrouter/anthropic/claude-sonnet-4.5
berry-2                                        | T1 | openrouter/google/gemini-3.1-flash-lite-preview
berry-2                                        | T3 | openrouter/anthropic/claude-sonnet-4.5
berry-2                                        | T3 | openrouter/google/gemini-3.1-flash-lite-preview
berry-2                                        | T3 | openrouter/nvidia/nemotron-3-nano-30b-a3b
berry-2                                        | T3 | openrouter/openai/gpt-5.5
berry-3                                        | T1 | openrouter/anthropic/claude-sonnet-4.5
berry-3                                        | T1 | openrouter/google/gemini-3.1-flash-lite-preview
berry-3                                        | T3 | openrouter/anthropic/claude-sonnet-4.5
berry-3                                        | T3 | openrouter/google/gemini-3.1-flash-lite-preview
berry-3                                        | T3 | openrouter/nvidia/nemotron-3-nano-30b-a3b
berry-3                                        | T3 | openrouter/openai/gpt-5.5
berry-4                                        | T1 | openrouter/anthropic/claude-sonnet-4.5
berry-4                                        | T1 | openrouter/google/gemini-3.1-flash-lite-preview
berry-4                                        | T1 | openrouter/nvidia/nemotron-3-nano-30b-a3b
berry-4                                        | T3 | openrouter/anthropic/claude-sonnet-4.5
berry-4                                        | T3 | openrouter/google/gemini-3.1-flash-lite-preview
berry-4                                        | T3 | openrouter/nvidia/nemotron-3-nano-30b-a3b
berry-5                                        | T1 | openrouter/anthropic/claude-sonnet-4.5
berry-5                                        | T1 | openrouter/google/gemini-3.1-flash-lite-preview
berry-5                                        | T1 | openrouter/nvidia/nemotron-3-nano-30b-a3b
berry-5                                        | T1 | openrouter/qwen/qwen3-30b-a3b-instruct-2507
berry-5                                        | T3 | openrouter/anthropic/claude-sonnet-4.5
berry-5                                        | T3 | openrouter/google/gemini-3.1-flash-lite-preview
berry-5                                        | T3 | openrouter/openai/gpt-5.5
crashbench-abo1                                | T1 | openrouter/google/gemini-2.5-flash
crashbench-abo1                                | T1 | openrouter/meta-llama/llama-3.1-8b-instruct
crashbench-abo1                                | T1 | openrouter/openai/gpt-4o
crashbench-abo1                                | T3 | openrouter/google/gemini-2.5-flash
crashbench-abo1                                | T3 | openrouter/meta-llama/llama-3.1-8b-instruct
crashbench-abo1                                | T3 | openrouter/openai/gpt-4o
crashbench-abo2                                | T1 | openrouter/google/gemini-2.5-flash
crashbench-abo2                                | T1 | openrouter/meta-llama/llama-3.1-8b-instruct
crashbench-abo2                                | T1 | openrouter/nvidia/nemotron-3-nano-30b-a3b
crashbench-abo2                                | T1 | openrouter/openai/gpt-4o
crashbench-abo2                                | T3 | openrouter/google/gemini-2.5-flash
crashbench-abo2                                | T3 | openrouter/meta-llama/llama-3.1-8b-instruct
crashbench-abo2                                | T3 | openrouter/openai/gpt-4o
crashbench-abo3                                | T1 | openrouter/google/gemini-2.5-flash
crashbench-abo3                                | T1 | openrouter/meta-llama/llama-3.1-8b-instruct
crashbench-abo3                                | T1 | openrouter/nvidia/nemotron-3-nano-30b-a3b
crashbench-abo3                                | T1 | openrouter/openai/gpt-4o
crashbench-abo3                                | T1 | openrouter/openai/gpt-5.5
crashbench-abo3                                | T1 | openrouter/qwen/qwen3-30b-a3b-instruct-2507
crashbench-abo3                                | T3 | openrouter/google/gemini-2.5-flash
crashbench-abo3                                | T3 | openrouter/meta-llama/llama-3.1-8b-instruct
