# Missing synthetic cells — need fresh model runs
# Total: 209
# Format: <case> | T<tier> | <model>

cjson-parse-string-oob                         | T1 | openrouter/anthropic/claude-sonnet-4.5
cjson-parse-string-oob                         | T1 | openrouter/google/gemini-3.1-flash-lite-preview
cjson-parse-string-oob                         | T1 | openrouter/meta-llama/llama-3.1-8b-instruct
cjson-parse-string-oob                         | T1 | openrouter/nvidia/nemotron-3-nano-30b-a3b
cjson-parse-string-oob                         | T1 | openrouter/openai/gpt-4o
cjson-parse-string-oob                         | T1 | openrouter/openai/gpt-5.5
cjson-parse-string-oob                         | T1 | openrouter/qwen/qwen3-30b-a3b-instruct-2507
cjson-parse-string-oob                         | T1 | openrouter/x-ai/grok-4
cjson-parse-string-oob                         | T3 | openrouter/anthropic/claude-sonnet-4.5
cjson-parse-string-oob                         | T3 | openrouter/meta-llama/llama-3.1-8b-instruct
cjson-parse-string-oob                         | T3 | openrouter/openai/gpt-4o
cjson-parse-string-oob                         | T3 | openrouter/x-ai/grok-4
double-free-errpath                            | T1 | openrouter/meta-llama/llama-3.1-8b-instruct
double-free-errpath                            | T1 | openrouter/openai/gpt-4o
double-free-errpath                            | T3 | openrouter/meta-llama/llama-3.1-8b-instruct
double-free-errpath                            | T3 | openrouter/openai/gpt-4o
heap-overflow-csv                              | T1 | openrouter/anthropic/claude-sonnet-4.5
heap-overflow-csv                              | T1 | openrouter/google/gemini-3.1-flash-lite-preview
heap-overflow-csv                              | T1 | openrouter/meta-llama/llama-3.1-8b-instruct
heap-overflow-csv                              | T1 | openrouter/nvidia/nemotron-3-nano-30b-a3b
heap-overflow-csv                              | T1 | openrouter/openai/gpt-4o
heap-overflow-csv                              | T1 | openrouter/x-ai/grok-4
heap-overflow-csv                              | T3 | openrouter/anthropic/claude-sonnet-4.5
heap-overflow-csv                              | T3 | openrouter/meta-llama/llama-3.1-8b-instruct
heap-overflow-csv                              | T3 | openrouter/openai/gpt-4o
heap-overflow-csv                              | T3 | openrouter/x-ai/grok-4
intoverflow-alloc                              | T1 | openrouter/meta-llama/llama-3.1-8b-instruct
intoverflow-alloc                              | T1 | openrouter/openai/gpt-4o
intoverflow-alloc                              | T3 | openrouter/meta-llama/llama-3.1-8b-instruct
intoverflow-alloc                              | T3 | openrouter/openai/gpt-4o
null-deref-env                                 | T1 | openrouter/anthropic/claude-sonnet-4.5
null-deref-env                                 | T1 | openrouter/google/gemini-3.1-flash-lite-preview
null-deref-env                                 | T1 | openrouter/meta-llama/llama-3.1-8b-instruct
null-deref-env                                 | T1 | openrouter/nvidia/nemotron-3-nano-30b-a3b
null-deref-env                                 | T1 | openrouter/openai/gpt-4o
null-deref-env                                 | T1 | openrouter/x-ai/grok-4
null-deref-env                                 | T3 | openrouter/anthropic/claude-sonnet-4.5
null-deref-env                                 | T3 | openrouter/meta-llama/llama-3.1-8b-instruct
null-deref-env                                 | T3 | openrouter/openai/gpt-4o
null-deref-env                                 | T3 | openrouter/x-ai/grok-4
off-by-one-crc                                 | T1 | openrouter/meta-llama/llama-3.1-8b-instruct
