panel	case	tier	model	prior_status
realworld	ncompress-overflow	1	openrouter/anthropic/claude-sonnet-4.5	build_failed
realworld	polymorph-overflow	1	openrouter/anthropic/claude-sonnet-4.5	build_failed
realworld	ncompress-overflow	1	openrouter/google/gemini-2.5-flash	build_failed
realworld	polymorph-overflow	1	openrouter/google/gemini-2.5-flash	build_failed
realworld	ncompress-overflow	1	openrouter/google/gemini-3.1-flash-lite-preview	build_failed
realworld	polymorph-overflow	1	openrouter/google/gemini-3.1-flash-lite-preview	build_failed
realworld	ncompress-overflow	1	openrouter/meta-llama/llama-3.1-8b-instruct	build_failed
realworld	polymorph-overflow	1	openrouter/meta-llama/llama-3.1-8b-instruct	build_failed
realworld	bc-heap-overflow	1	openrouter/nvidia/nemotron-3-nano-30b-a3b	timeout
realworld	berry-1	1	openrouter/nvidia/nemotron-3-nano-30b-a3b	timeout
realworld	berry-2	1	openrouter/nvidia/nemotron-3-nano-30b-a3b	timeout
realworld	berry-3	1	openrouter/nvidia/nemotron-3-nano-30b-a3b	timeout
realworld	berry-4	1	openrouter/nvidia/nemotron-3-nano-30b-a3b	timeout
realworld	berry-5	1	openrouter/nvidia/nemotron-3-nano-30b-a3b	timeout
realworld	crashbench-abo2	1	openrouter/nvidia/nemotron-3-nano-30b-a3b	timeout
realworld	crashbench-abo3	1	openrouter/nvidia/nemotron-3-nano-30b-a3b	timeout
realworld	crashbench-abo5	1	openrouter/nvidia/nemotron-3-nano-30b-a3b	timeout
realworld	crashbench-abo7	1	openrouter/nvidia/nemotron-3-nano-30b-a3b	timeout
realworld	ncompress-overflow	1	openrouter/nvidia/nemotron-3-nano-30b-a3b	build_failed
realworld	polymorph-overflow	1	openrouter/nvidia/nemotron-3-nano-30b-a3b	build_failed
realworld	crashbench-abo1	1	openrouter/openai/gpt-4o	timeout
realworld	crashbench-abo2	1	openrouter/openai/gpt-4o	timeout
realworld	crashbench-abo3	1	openrouter/openai/gpt-4o	timeout
realworld	crashbench-abo8	1	openrouter/openai/gpt-4o	timeout
realworld	juliet-cwe122-char-type-overrun-memcpy-01	1	openrouter/openai/gpt-4o	timeout
realworld	juliet-cwe126-char-alloca-loop-01	1	openrouter/openai/gpt-4o	timeout
realworld	juliet-cwe416-malloc-free-char-01	1	openrouter/openai/gpt-4o	timeout
realworld	ncompress-overflow	1	openrouter/openai/gpt-4o	build_failed
realworld	ncompress-overflow	1	openrouter/openai/gpt-5.5	build_failed
realworld	polymorph-overflow	1	openrouter/openai/gpt-5.5	build_failed
realworld	berry-5	1	openrouter/qwen/qwen3-30b-a3b-instruct-2507	timeout
realworld	ncompress-overflow	1	openrouter/qwen/qwen3-30b-a3b-instruct-2507	build_failed
realworld	bc-heap-overflow	3	openrouter/anthropic/claude-sonnet-4.5	error
realworld	berry-2	3	openrouter/anthropic/claude-sonnet-4.5	no_collect
realworld	berry-3	3	openrouter/anthropic/claude-sonnet-4.5	no_collect
realworld	ncompress-overflow	3	openrouter/anthropic/claude-sonnet-4.5	build_failed
realworld	polymorph-overflow	3	openrouter/anthropic/claude-sonnet-4.5	build_failed
realworld	bc-heap-overflow	3	openrouter/google/gemini-2.5-flash	error
realworld	crashbench-abo1	3	openrouter/google/gemini-2.5-flash	no_collect
realworld	crashbench-abo2	3	openrouter/google/gemini-2.5-flash	no_collect
realworld	crashbench-abo3	3	openrouter/google/gemini-2.5-flash	no_collect
realworld	crashbench-abo5	3	openrouter/google/gemini-2.5-flash	no_collect
realworld	crashbench-abo7	3	openrouter/google/gemini-2.5-flash	no_collect
realworld	crashbench-abo8	3	openrouter/google/gemini-2.5-flash	no_collect
realworld	juliet-cwe121-char-type-overrun-memcpy-01	3	openrouter/google/gemini-2.5-flash	no_collect
realworld	juliet-cwe122-char-type-overrun-memcpy-01	3	openrouter/google/gemini-2.5-flash	no_collect
realworld	juliet-cwe126-char-alloca-loop-01	3	openrouter/google/gemini-2.5-flash	no_collect
realworld	juliet-cwe415-malloc-free-char-01	3	openrouter/google/gemini-2.5-flash	no_collect
realworld	juliet-cwe416-malloc-free-char-01	3	openrouter/google/gemini-2.5-flash	no_collect
realworld	ncompress-overflow	3	openrouter/google/gemini-2.5-flash	build_failed
realworld	polymorph-overflow	3	openrouter/google/gemini-2.5-flash	build_failed
realworld	bc-heap-overflow	3	openrouter/google/gemini-3.1-flash-lite-preview	error
realworld	berry-1	3	openrouter/google/gemini-3.1-flash-lite-preview	timeout
realworld	berry-2	3	openrouter/google/gemini-3.1-flash-lite-preview	timeout
realworld	berry-3	3	openrouter/google/gemini-3.1-flash-lite-preview	timeout
realworld	berry-4	3	openrouter/google/gemini-3.1-flash-lite-preview	timeout
realworld	berry-5	3	openrouter/google/gemini-3.1-flash-lite-preview	timeout
realworld	ncompress-overflow	3	openrouter/google/gemini-3.1-flash-lite-preview	build_failed
realworld	polymorph-overflow	3	openrouter/google/gemini-3.1-flash-lite-preview	build_failed
realworld	crashbench-abo1	3	openrouter/meta-llama/llama-3.1-8b-instruct	no_collect
realworld	crashbench-abo2	3	openrouter/meta-llama/llama-3.1-8b-instruct	no_collect
realworld	crashbench-abo3	3	openrouter/meta-llama/llama-3.1-8b-instruct	no_collect
realworld	crashbench-abo5	3	openrouter/meta-llama/llama-3.1-8b-instruct	no_collect
realworld	crashbench-abo7	3	openrouter/meta-llama/llama-3.1-8b-instruct	no_collect
realworld	crashbench-abo8	3	openrouter/meta-llama/llama-3.1-8b-instruct	no_collect
realworld	juliet-cwe121-char-type-overrun-memcpy-01	3	openrouter/meta-llama/llama-3.1-8b-instruct	no_collect
realworld	juliet-cwe122-char-type-overrun-memcpy-01	3	openrouter/meta-llama/llama-3.1-8b-instruct	no_collect
realworld	juliet-cwe126-char-alloca-loop-01	3	openrouter/meta-llama/llama-3.1-8b-instruct	no_collect
realworld	juliet-cwe415-malloc-free-char-01	3	openrouter/meta-llama/llama-3.1-8b-instruct	no_collect
realworld	juliet-cwe416-malloc-free-char-01	3	openrouter/meta-llama/llama-3.1-8b-instruct	no_collect
realworld	polymorph-overflow	3	openrouter/meta-llama/llama-3.1-8b-instruct	build_failed
realworld	berry-3	3	openrouter/nvidia/nemotron-3-nano-30b-a3b	no_collect
realworld	polymorph-overflow	3	openrouter/nvidia/nemotron-3-nano-30b-a3b	build_failed
realworld	crashbench-abo1	3	openrouter/openai/gpt-4o	no_collect
realworld	crashbench-abo2	3	openrouter/openai/gpt-4o	no_collect
realworld	crashbench-abo3	3	openrouter/openai/gpt-4o	no_collect
realworld	crashbench-abo5	3	openrouter/openai/gpt-4o	no_collect
realworld	crashbench-abo7	3	openrouter/openai/gpt-4o	no_collect
realworld	crashbench-abo8	3	openrouter/openai/gpt-4o	no_collect
realworld	juliet-cwe121-char-type-overrun-memcpy-01	3	openrouter/openai/gpt-4o	no_collect
realworld	juliet-cwe122-char-type-overrun-memcpy-01	3	openrouter/openai/gpt-4o	no_collect
realworld	juliet-cwe126-char-alloca-loop-01	3	openrouter/openai/gpt-4o	no_collect
