panel	case	tier	model	prior_status
realworld	bc-heap-overflow	1	openrouter/x-ai/grok-4	missing
realworld	berry-1	1	openrouter/x-ai/grok-4	missing
realworld	berry-2	1	openrouter/x-ai/grok-4	missing
realworld	berry-3	1	openrouter/x-ai/grok-4	missing
realworld	berry-4	1	openrouter/x-ai/grok-4	missing
realworld	berry-5	1	openrouter/x-ai/grok-4	missing
realworld	crashbench-abo1	1	openrouter/x-ai/grok-4	missing
realworld	crashbench-abo2	1	openrouter/x-ai/grok-4	missing
realworld	crashbench-abo3	1	openrouter/x-ai/grok-4	missing
realworld	crashbench-abo5	1	openrouter/x-ai/grok-4	missing
realworld	crashbench-abo7	1	openrouter/x-ai/grok-4	missing
realworld	crashbench-abo8	1	openrouter/x-ai/grok-4	missing
realworld	juliet-cwe121-char-type-overrun-memcpy-01	1	openrouter/x-ai/grok-4	missing
realworld	juliet-cwe122-char-type-overrun-memcpy-01	1	openrouter/x-ai/grok-4	missing
realworld	juliet-cwe126-char-alloca-loop-01	1	openrouter/x-ai/grok-4	missing
realworld	juliet-cwe415-malloc-free-char-01	1	openrouter/x-ai/grok-4	missing
realworld	juliet-cwe416-malloc-free-char-01	1	openrouter/x-ai/grok-4	missing
realworld	man-overflow	1	openrouter/x-ai/grok-4	missing
realworld	ncompress-overflow	1	openrouter/x-ai/grok-4	missing
realworld	polymorph-overflow	1	openrouter/x-ai/grok-4	missing
realworld	bc-heap-overflow	3	openrouter/x-ai/grok-4	missing
realworld	berry-1	3	openrouter/x-ai/grok-4	missing
realworld	berry-2	3	openrouter/x-ai/grok-4	missing
realworld	berry-3	3	openrouter/x-ai/grok-4	missing
realworld	berry-4	3	openrouter/x-ai/grok-4	missing
realworld	berry-5	3	openrouter/x-ai/grok-4	missing
realworld	crashbench-abo1	3	openrouter/x-ai/grok-4	missing
realworld	crashbench-abo2	3	openrouter/x-ai/grok-4	missing
realworld	crashbench-abo3	3	openrouter/x-ai/grok-4	missing
realworld	crashbench-abo5	3	openrouter/x-ai/grok-4	missing
realworld	crashbench-abo7	3	openrouter/x-ai/grok-4	missing
realworld	crashbench-abo8	3	openrouter/x-ai/grok-4	missing
realworld	juliet-cwe121-char-type-overrun-memcpy-01	3	openrouter/x-ai/grok-4	missing
realworld	juliet-cwe122-char-type-overrun-memcpy-01	3	openrouter/x-ai/grok-4	missing
realworld	juliet-cwe126-char-alloca-loop-01	3	openrouter/x-ai/grok-4	missing
realworld	juliet-cwe415-malloc-free-char-01	3	openrouter/x-ai/grok-4	missing
realworld	juliet-cwe416-malloc-free-char-01	3	openrouter/x-ai/grok-4	missing
realworld	ncompress-overflow	3	openrouter/x-ai/grok-4	missing
realworld	polymorph-overflow	3	openrouter/x-ai/grok-4	missing
