panel	case	tier	model	prior_status
realworld	crashbench-abo1	3	openrouter/meta-llama/llama-3.1-8b-instruct	no_collect
realworld	crashbench-abo1	3	openrouter/openai/gpt-4o	no_collect
realworld	crashbench-abo2	3	openrouter/meta-llama/llama-3.1-8b-instruct	no_collect
realworld	crashbench-abo2	3	openrouter/openai/gpt-4o	no_collect
realworld	crashbench-abo3	3	openrouter/meta-llama/llama-3.1-8b-instruct	no_collect
realworld	crashbench-abo3	3	openrouter/openai/gpt-4o	no_collect
realworld	crashbench-abo5	3	openrouter/google/gemini-2.5-flash	no_collect
realworld	crashbench-abo5	3	openrouter/meta-llama/llama-3.1-8b-instruct	no_collect
realworld	crashbench-abo5	3	openrouter/openai/gpt-4o	no_collect
realworld	crashbench-abo7	3	openrouter/meta-llama/llama-3.1-8b-instruct	no_collect
realworld	crashbench-abo7	3	openrouter/openai/gpt-4o	no_collect
realworld	crashbench-abo8	3	openrouter/meta-llama/llama-3.1-8b-instruct	no_collect
realworld	crashbench-abo8	3	openrouter/openai/gpt-4o	no_collect
realworld	juliet-cwe121-char-type-overrun-memcpy-01	3	openrouter/google/gemini-2.5-flash	no_collect
realworld	juliet-cwe121-char-type-overrun-memcpy-01	3	openrouter/meta-llama/llama-3.1-8b-instruct	no_collect
realworld	juliet-cwe121-char-type-overrun-memcpy-01	3	openrouter/openai/gpt-4o	no_collect
realworld	juliet-cwe122-char-type-overrun-memcpy-01	3	openrouter/google/gemini-2.5-flash	no_collect
realworld	juliet-cwe122-char-type-overrun-memcpy-01	3	openrouter/meta-llama/llama-3.1-8b-instruct	no_collect
realworld	juliet-cwe122-char-type-overrun-memcpy-01	3	openrouter/openai/gpt-4o	no_collect
realworld	juliet-cwe126-char-alloca-loop-01	3	openrouter/google/gemini-2.5-flash	no_collect
realworld	juliet-cwe126-char-alloca-loop-01	3	openrouter/meta-llama/llama-3.1-8b-instruct	no_collect
realworld	juliet-cwe126-char-alloca-loop-01	3	openrouter/openai/gpt-4o	no_collect
realworld	juliet-cwe415-malloc-free-char-01	3	openrouter/google/gemini-2.5-flash	no_collect
realworld	juliet-cwe415-malloc-free-char-01	3	openrouter/meta-llama/llama-3.1-8b-instruct	no_collect
realworld	juliet-cwe415-malloc-free-char-01	3	openrouter/openai/gpt-4o	no_collect
realworld	juliet-cwe416-malloc-free-char-01	3	openrouter/google/gemini-2.5-flash	no_collect
realworld	juliet-cwe416-malloc-free-char-01	3	openrouter/meta-llama/llama-3.1-8b-instruct	no_collect
realworld	juliet-cwe416-malloc-free-char-01	3	openrouter/openai/gpt-4o	no_collect
