panel	case	tier	model	prior_status
realworld	bc-heap-overflow	1	openrouter/anthropic/claude-sonnet-4.5	missing
realworld	berry-1	1	openrouter/anthropic/claude-sonnet-4.5	missing
realworld	berry-2	1	openrouter/anthropic/claude-sonnet-4.5	missing
realworld	berry-3	1	openrouter/anthropic/claude-sonnet-4.5	missing
realworld	berry-4	1	openrouter/anthropic/claude-sonnet-4.5	missing
realworld	berry-5	1	openrouter/anthropic/claude-sonnet-4.5	missing
realworld	crashbench-abo8	1	openrouter/anthropic/claude-sonnet-4.5	missing
realworld	ncompress-overflow	1	openrouter/anthropic/claude-sonnet-4.5	missing
realworld	polymorph-overflow	1	openrouter/anthropic/claude-sonnet-4.5	missing
realworld	bc-heap-overflow	1	openrouter/google/gemini-2.5-flash	missing
realworld	crashbench-abo1	1	openrouter/google/gemini-2.5-flash	missing
realworld	crashbench-abo2	1	openrouter/google/gemini-2.5-flash	missing
realworld	crashbench-abo3	1	openrouter/google/gemini-2.5-flash	missing
realworld	crashbench-abo5	1	openrouter/google/gemini-2.5-flash	missing
realworld	crashbench-abo7	1	openrouter/google/gemini-2.5-flash	missing
realworld	crashbench-abo8	1	openrouter/google/gemini-2.5-flash	missing
realworld	juliet-cwe121-char-type-overrun-memcpy-01	1	openrouter/google/gemini-2.5-flash	missing
realworld	juliet-cwe122-char-type-overrun-memcpy-01	1	openrouter/google/gemini-2.5-flash	missing
realworld	juliet-cwe126-char-alloca-loop-01	1	openrouter/google/gemini-2.5-flash	missing
realworld	juliet-cwe415-malloc-free-char-01	1	openrouter/google/gemini-2.5-flash	missing
realworld	juliet-cwe416-malloc-free-char-01	1	openrouter/google/gemini-2.5-flash	missing
realworld	ncompress-overflow	1	openrouter/google/gemini-2.5-flash	missing
realworld	polymorph-overflow	1	openrouter/google/gemini-2.5-flash	missing
realworld	bc-heap-overflow	1	openrouter/google/gemini-3.1-flash-lite-preview	missing
realworld	berry-1	1	openrouter/google/gemini-3.1-flash-lite-preview	missing
realworld	berry-2	1	openrouter/google/gemini-3.1-flash-lite-preview	missing
realworld	berry-3	1	openrouter/google/gemini-3.1-flash-lite-preview	missing
realworld	berry-4	1	openrouter/google/gemini-3.1-flash-lite-preview	missing
realworld	berry-5	1	openrouter/google/gemini-3.1-flash-lite-preview	missing
realworld	ncompress-overflow	1	openrouter/google/gemini-3.1-flash-lite-preview	missing
realworld	polymorph-overflow	1	openrouter/google/gemini-3.1-flash-lite-preview	missing
realworld	bc-heap-overflow	1	openrouter/meta-llama/llama-3.1-8b-instruct	missing
realworld	crashbench-abo1	1	openrouter/meta-llama/llama-3.1-8b-instruct	missing
realworld	crashbench-abo2	1	openrouter/meta-llama/llama-3.1-8b-instruct	missing
realworld	crashbench-abo3	1	openrouter/meta-llama/llama-3.1-8b-instruct	missing
realworld	crashbench-abo5	1	openrouter/meta-llama/llama-3.1-8b-instruct	missing
realworld	crashbench-abo7	1	openrouter/meta-llama/llama-3.1-8b-instruct	missing
realworld	crashbench-abo8	1	openrouter/meta-llama/llama-3.1-8b-instruct	missing
realworld	juliet-cwe121-char-type-overrun-memcpy-01	1	openrouter/meta-llama/llama-3.1-8b-instruct	missing
realworld	juliet-cwe122-char-type-overrun-memcpy-01	1	openrouter/meta-llama/llama-3.1-8b-instruct	missing
realworld	juliet-cwe126-char-alloca-loop-01	1	openrouter/meta-llama/llama-3.1-8b-instruct	missing
realworld	juliet-cwe415-malloc-free-char-01	1	openrouter/meta-llama/llama-3.1-8b-instruct	missing
realworld	juliet-cwe416-malloc-free-char-01	1	openrouter/meta-llama/llama-3.1-8b-instruct	missing
realworld	ncompress-overflow	1	openrouter/meta-llama/llama-3.1-8b-instruct	missing
realworld	polymorph-overflow	1	openrouter/meta-llama/llama-3.1-8b-instruct	missing
realworld	bc-heap-overflow	1	openrouter/nvidia/nemotron-3-nano-30b-a3b	missing
realworld	berry-4	1	openrouter/nvidia/nemotron-3-nano-30b-a3b	missing
realworld	berry-5	1	openrouter/nvidia/nemotron-3-nano-30b-a3b	missing
realworld	crashbench-abo2	1	openrouter/nvidia/nemotron-3-nano-30b-a3b	missing
realworld	crashbench-abo3	1	openrouter/nvidia/nemotron-3-nano-30b-a3b	missing
realworld	crashbench-abo5	1	openrouter/nvidia/nemotron-3-nano-30b-a3b	missing
realworld	crashbench-abo7	1	openrouter/nvidia/nemotron-3-nano-30b-a3b	missing
realworld	ncompress-overflow	1	openrouter/nvidia/nemotron-3-nano-30b-a3b	missing
realworld	polymorph-overflow	1	openrouter/nvidia/nemotron-3-nano-30b-a3b	missing
realworld	crashbench-abo1	1	openrouter/openai/gpt-4o	missing
realworld	crashbench-abo2	1	openrouter/openai/gpt-4o	missing
realworld	crashbench-abo3	1	openrouter/openai/gpt-4o	missing
realworld	crashbench-abo5	1	openrouter/openai/gpt-4o	missing
realworld	crashbench-abo7	1	openrouter/openai/gpt-4o	missing
realworld	crashbench-abo8	1	openrouter/openai/gpt-4o	missing
realworld	juliet-cwe121-char-type-overrun-memcpy-01	1	openrouter/openai/gpt-4o	missing
realworld	juliet-cwe122-char-type-overrun-memcpy-01	1	openrouter/openai/gpt-4o	missing
realworld	juliet-cwe126-char-alloca-loop-01	1	openrouter/openai/gpt-4o	missing
realworld	juliet-cwe415-malloc-free-char-01	1	openrouter/openai/gpt-4o	missing
realworld	juliet-cwe416-malloc-free-char-01	1	openrouter/openai/gpt-4o	missing
realworld	ncompress-overflow	1	openrouter/openai/gpt-4o	missing
realworld	bc-heap-overflow	1	openrouter/openai/gpt-5.5	missing
realworld	crashbench-abo3	1	openrouter/openai/gpt-5.5	missing
realworld	ncompress-overflow	1	openrouter/openai/gpt-5.5	missing
realworld	polymorph-overflow	1	openrouter/openai/gpt-5.5	missing
realworld	berry-5	1	openrouter/qwen/qwen3-30b-a3b-instruct-2507	missing
realworld	crashbench-abo3	1	openrouter/qwen/qwen3-30b-a3b-instruct-2507	missing
realworld	crashbench-abo5	1	openrouter/qwen/qwen3-30b-a3b-instruct-2507	missing
realworld	juliet-cwe415-malloc-free-char-01	1	openrouter/qwen/qwen3-30b-a3b-instruct-2507	missing
realworld	ncompress-overflow	1	openrouter/qwen/qwen3-30b-a3b-instruct-2507	missing
realworld	berry-1	3	openrouter/anthropic/claude-sonnet-4.5	missing
realworld	berry-2	3	openrouter/anthropic/claude-sonnet-4.5	missing
realworld	berry-3	3	openrouter/anthropic/claude-sonnet-4.5	missing
realworld	berry-4	3	openrouter/anthropic/claude-sonnet-4.5	missing
realworld	berry-5	3	openrouter/anthropic/claude-sonnet-4.5	missing
realworld	berry-1	3	openrouter/google/gemini-2.5-flash	missing
realworld	crashbench-abo1	3	openrouter/google/gemini-2.5-flash	missing
realworld	crashbench-abo2	3	openrouter/google/gemini-2.5-flash	missing
realworld	crashbench-abo3	3	openrouter/google/gemini-2.5-flash	missing
realworld	crashbench-abo5	3	openrouter/google/gemini-2.5-flash	missing
realworld	crashbench-abo7	3	openrouter/google/gemini-2.5-flash	missing
realworld	crashbench-abo8	3	openrouter/google/gemini-2.5-flash	missing
realworld	juliet-cwe121-char-type-overrun-memcpy-01	3	openrouter/google/gemini-2.5-flash	missing
realworld	juliet-cwe122-char-type-overrun-memcpy-01	3	openrouter/google/gemini-2.5-flash	missing
realworld	juliet-cwe126-char-alloca-loop-01	3	openrouter/google/gemini-2.5-flash	missing
realworld	juliet-cwe415-malloc-free-char-01	3	openrouter/google/gemini-2.5-flash	missing
realworld	juliet-cwe416-malloc-free-char-01	3	openrouter/google/gemini-2.5-flash	missing
realworld	berry-1	3	openrouter/google/gemini-3.1-flash-lite-preview	missing
realworld	berry-2	3	openrouter/google/gemini-3.1-flash-lite-preview	missing
realworld	berry-3	3	openrouter/google/gemini-3.1-flash-lite-preview	missing
realworld	berry-4	3	openrouter/google/gemini-3.1-flash-lite-preview	missing
realworld	berry-5	3	openrouter/google/gemini-3.1-flash-lite-preview	missing
realworld	crashbench-abo1	3	openrouter/meta-llama/llama-3.1-8b-instruct	missing
realworld	crashbench-abo2	3	openrouter/meta-llama/llama-3.1-8b-instruct	missing
realworld	crashbench-abo3	3	openrouter/meta-llama/llama-3.1-8b-instruct	missing
realworld	crashbench-abo5	3	openrouter/meta-llama/llama-3.1-8b-instruct	missing
realworld	crashbench-abo7	3	openrouter/meta-llama/llama-3.1-8b-instruct	missing
realworld	crashbench-abo8	3	openrouter/meta-llama/llama-3.1-8b-instruct	missing
realworld	juliet-cwe121-char-type-overrun-memcpy-01	3	openrouter/meta-llama/llama-3.1-8b-instruct	missing
realworld	juliet-cwe122-char-type-overrun-memcpy-01	3	openrouter/meta-llama/llama-3.1-8b-instruct	missing
realworld	juliet-cwe126-char-alloca-loop-01	3	openrouter/meta-llama/llama-3.1-8b-instruct	missing
realworld	juliet-cwe415-malloc-free-char-01	3	openrouter/meta-llama/llama-3.1-8b-instruct	missing
realworld	juliet-cwe416-malloc-free-char-01	3	openrouter/meta-llama/llama-3.1-8b-instruct	missing
realworld	berry-2	3	openrouter/nvidia/nemotron-3-nano-30b-a3b	missing
realworld	berry-3	3	openrouter/nvidia/nemotron-3-nano-30b-a3b	missing
realworld	berry-4	3	openrouter/nvidia/nemotron-3-nano-30b-a3b	missing
realworld	crashbench-abo1	3	openrouter/openai/gpt-4o	missing
realworld	crashbench-abo2	3	openrouter/openai/gpt-4o	missing
realworld	crashbench-abo3	3	openrouter/openai/gpt-4o	missing
realworld	crashbench-abo5	3	openrouter/openai/gpt-4o	missing
realworld	crashbench-abo7	3	openrouter/openai/gpt-4o	missing
realworld	crashbench-abo8	3	openrouter/openai/gpt-4o	missing
realworld	juliet-cwe121-char-type-overrun-memcpy-01	3	openrouter/openai/gpt-4o	missing
realworld	juliet-cwe122-char-type-overrun-memcpy-01	3	openrouter/openai/gpt-4o	missing
realworld	juliet-cwe126-char-alloca-loop-01	3	openrouter/openai/gpt-4o	missing
realworld	juliet-cwe415-malloc-free-char-01	3	openrouter/openai/gpt-4o	missing
realworld	juliet-cwe416-malloc-free-char-01	3	openrouter/openai/gpt-4o	missing
realworld	berry-1	3	openrouter/openai/gpt-5.5	missing
realworld	berry-2	3	openrouter/openai/gpt-5.5	missing
realworld	berry-3	3	openrouter/openai/gpt-5.5	missing
realworld	berry-5	3	openrouter/openai/gpt-5.5	missing
