panel	case	tier	model
realworld	bc-heap-overflow	1	openrouter/anthropic/claude-sonnet-4.5
realworld	bc-heap-overflow	1	openrouter/google/gemini-2.5-flash
realworld	bc-heap-overflow	1	openrouter/google/gemini-3.1-flash-lite-preview
realworld	bc-heap-overflow	1	openrouter/meta-llama/llama-3.1-8b-instruct
realworld	bc-heap-overflow	1	openrouter/nvidia/nemotron-3-nano-30b-a3b
realworld	bc-heap-overflow	1	openrouter/openai/gpt-5.5
realworld	bc-heap-overflow	3	openrouter/anthropic/claude-sonnet-4.5
realworld	bc-heap-overflow	3	openrouter/google/gemini-2.5-flash
realworld	bc-heap-overflow	3	openrouter/google/gemini-3.1-flash-lite-preview
realworld	bc-heap-overflow	3	openrouter/openai/gpt-5.5
realworld	bc-heap-overflow	3	openrouter/qwen/qwen3-30b-a3b-instruct-2507
realworld	berry-1	1	openrouter/anthropic/claude-sonnet-4.5
realworld	berry-1	1	openrouter/google/gemini-3.1-flash-lite-preview
realworld	berry-1	1	openrouter/nvidia/nemotron-3-nano-30b-a3b
realworld	berry-1	3	openrouter/anthropic/claude-sonnet-4.5
realworld	berry-1	3	openrouter/google/gemini-2.5-flash
realworld	berry-1	3	openrouter/google/gemini-3.1-flash-lite-preview
realworld	berry-1	3	openrouter/openai/gpt-5.5
realworld	berry-2	1	openrouter/anthropic/claude-sonnet-4.5
realworld	berry-2	1	openrouter/google/gemini-3.1-flash-lite-preview
realworld	berry-2	1	openrouter/nvidia/nemotron-3-nano-30b-a3b
realworld	berry-2	3	openrouter/anthropic/claude-sonnet-4.5
realworld	berry-2	3	openrouter/google/gemini-3.1-flash-lite-preview
realworld	berry-2	3	openrouter/nvidia/nemotron-3-nano-30b-a3b
realworld	berry-2	3	openrouter/openai/gpt-5.5
realworld	berry-3	1	openrouter/anthropic/claude-sonnet-4.5
realworld	berry-3	1	openrouter/google/gemini-3.1-flash-lite-preview
realworld	berry-3	1	openrouter/nvidia/nemotron-3-nano-30b-a3b
realworld	berry-3	3	openrouter/anthropic/claude-sonnet-4.5
realworld	berry-3	3	openrouter/google/gemini-3.1-flash-lite-preview
realworld	berry-3	3	openrouter/nvidia/nemotron-3-nano-30b-a3b
realworld	berry-3	3	openrouter/openai/gpt-5.5
realworld	berry-4	1	openrouter/anthropic/claude-sonnet-4.5
realworld	berry-4	1	openrouter/google/gemini-3.1-flash-lite-preview
realworld	berry-4	1	openrouter/nvidia/nemotron-3-nano-30b-a3b
realworld	berry-4	3	openrouter/anthropic/claude-sonnet-4.5
realworld	berry-4	3	openrouter/google/gemini-3.1-flash-lite-preview
realworld	berry-4	3	openrouter/nvidia/nemotron-3-nano-30b-a3b
realworld	berry-5	1	openrouter/anthropic/claude-sonnet-4.5
realworld	berry-5	1	openrouter/google/gemini-3.1-flash-lite-preview
realworld	berry-5	1	openrouter/nvidia/nemotron-3-nano-30b-a3b
realworld	berry-5	1	openrouter/qwen/qwen3-30b-a3b-instruct-2507
realworld	berry-5	3	openrouter/anthropic/claude-sonnet-4.5
realworld	berry-5	3	openrouter/google/gemini-3.1-flash-lite-preview
realworld	berry-5	3	openrouter/openai/gpt-5.5
realworld	crashbench-abo1	1	openrouter/google/gemini-2.5-flash
realworld	crashbench-abo1	1	openrouter/meta-llama/llama-3.1-8b-instruct
realworld	crashbench-abo1	1	openrouter/openai/gpt-4o
realworld	crashbench-abo1	3	openrouter/google/gemini-2.5-flash
realworld	crashbench-abo1	3	openrouter/meta-llama/llama-3.1-8b-instruct
realworld	crashbench-abo1	3	openrouter/openai/gpt-4o
realworld	crashbench-abo2	1	openrouter/anthropic/claude-sonnet-4.5
realworld	crashbench-abo2	1	openrouter/google/gemini-2.5-flash
realworld	crashbench-abo2	1	openrouter/meta-llama/llama-3.1-8b-instruct
realworld	crashbench-abo2	1	openrouter/nvidia/nemotron-3-nano-30b-a3b
realworld	crashbench-abo2	1	openrouter/openai/gpt-4o
realworld	crashbench-abo2	3	openrouter/google/gemini-2.5-flash
realworld	crashbench-abo2	3	openrouter/meta-llama/llama-3.1-8b-instruct
realworld	crashbench-abo2	3	openrouter/openai/gpt-4o
realworld	crashbench-abo3	1	openrouter/google/gemini-2.5-flash
realworld	crashbench-abo3	1	openrouter/meta-llama/llama-3.1-8b-instruct
realworld	crashbench-abo3	1	openrouter/nvidia/nemotron-3-nano-30b-a3b
realworld	crashbench-abo3	1	openrouter/openai/gpt-4o
realworld	crashbench-abo3	1	openrouter/openai/gpt-5.5
realworld	crashbench-abo3	1	openrouter/qwen/qwen3-30b-a3b-instruct-2507
realworld	crashbench-abo3	3	openrouter/google/gemini-2.5-flash
realworld	crashbench-abo3	3	openrouter/meta-llama/llama-3.1-8b-instruct
realworld	crashbench-abo3	3	openrouter/openai/gpt-4o
realworld	crashbench-abo5	1	openrouter/google/gemini-2.5-flash
realworld	crashbench-abo5	1	openrouter/meta-llama/llama-3.1-8b-instruct
