/usr/bin/find: 'tests': No such file or directory
Function "_exit" not defined.
/opt/chatdbg-venv/lib/python3.11/site-packages/pydantic/main.py:475: UserWarning: Pydantic serializer warnings:
  PydanticSerializationUnexpectedValue(Expected 5 fields but got 4: Expected `Message` - serialized value may not be as expected [field_name='choices', input_value=Message(content='', role=...')], function_call=None), input_type=Message])
  PydanticSerializationUnexpectedValue(Expected `StreamingChoices` - serialized value may not be as expected [field_name='choices', input_value=Choices(finish_reason='to...)], function_call=None)), input_type=Choices])
  return self.__pydantic_serializer__.to_python(
/opt/chatdbg-venv/lib/python3.11/site-packages/pydantic/main.py:475: UserWarning: Pydantic serializer warnings:
  PydanticSerializationUnexpectedValue(Expected 5 fields but got 4: Expected `Message` - serialized value may not be as expected [field_name='choices', input_value=Message(content='', role=...')], function_call=None), input_type=Message])
  PydanticSerializationUnexpectedValue(Expected `StreamingChoices` - serialized value may not be as expected [field_name='choices', input_value=Choices(finish_reason='st...)], function_call=None)), input_type=Choices])
  return self.__pydantic_serializer__.to_python(
find: '/tmp/tmux-126076': Permission denied
find: '/tmp/ssh-XXXXXX4NVYBD': Permission denied
find: '/tmp/MathWorks-ccui': Permission denied
find: '/tmp/tmux-331623': Permission denied
find: '/tmp/ssh-XXXXXXDLfvFg': Permission denied
find: '/tmp/tmux-375649': Permission denied
find: '/tmp/tmux-114014': Permission denied
find: '/tmp/tmux-331614': Permission denied
find: '/tmp/tmux-130623': Permission denied
find: '/tmp/ssh-XXXXXXUFtlVF': Permission denied
find: '/tmp/ssh-XXXXXXCap6Qu': Permission denied
find: '/tmp/ssh-XXXXXXDh0bMm': Permission denied
find: '/tmp/ssh-XXXXXXmwHW4e': Permission denied
find: '/tmp/tmux-362732': Permission denied
find: '/tmp/ssh-XXXXXXr4KULa': Permission denied
find: '/tmp/ssh-XXXXXX43b6sr': Permission denied
find: '/tmp/tmux-125105': Permission denied
find: '/tmp/mcp-sVu1si': Permission denied
find: '/tmp/mcp-Uwzars': Permission denied
find: '/tmp/ssh-XXXXXXu1Oomp': Permission denied
find: '/tmp/ssh-XXXXXXe1aLmO': Permission denied
find: '/tmp/ssh-XXXXXXxIF5iM': Permission denied
find: '/tmp/mcp-TMelMx': Permission denied
find: '/tmp/ssh-XXXXXXQiorFd': Permission denied
find: '/tmp/pyright-2439356-NOoPZwa0q9iL': Permission denied
find: '/tmp/mcp-XU8EBK': Permission denied
find: '/tmp/mcp-odTQjD': Permission denied
find: '/tmp/mcp-Ps8aYK': Permission denied
find: '/tmp/ssh-XXXXXXeEcQdB': Permission denied
find: '/tmp/pyright-674420-DduQ3Ws28a6O': Permission denied
find: '/tmp/mcp-2Mfgpk': Permission denied
find: '/tmp/mcp-HcxZPB': Permission denied
find: '/tmp/mcp-9orSlh': Permission denied
find: '/tmp/mcp-ulxAJZ': Permission denied
find: '/tmp/mcp-tOVA6T': Permission denied
find: '/tmp/mcp-67jyUP': Permission denied
